index,stem,Adams-Novikov filtration,order,shift,h1info,h1target,h2info,h2target,drinfo,drtarget
h0 h6 g,83,5,2,-3,,,1,h2 h6 g,,
D^2 h2 d1,83,5,1,-1,,,,,,
_h1^3 x1,83,5,1,1,,_h1^4 x1,,,3,h1^3 x1
P^2 h1^4 h6,83,5,1,3,,P^2 h1^5 h6,,,,
_h1 g B7,83,7,1,-4,,,,,,
D j1,83,7,1,-2,,D h1 j1,,,,
P h1^4 h6 c0,83,7,1,0,,P h1^5 h6 c0,,,,
D^2 h1 e0^2,83,7,1,2,,,,,,
h1 h4 Q3,83,7,1,4,,h1^2 h4 Q3,,,,
_P h1^11 h6,83,9,1,-2,,_t^2 h2 g^4,,,3,P h1^11 h6
h1^4 x1,83,9,1,0,,h1^5 x1,,,,
D h1 e1 g,83,9,1,2,,D h1^2 e1 g,,,,
_h1^11 h6 c0,83,11,1,-1,,_h1^12 h6 c0,,,3,h1^11 h6 c0
_t h2 c1 g^3,83,11,1,1,,,,,,
h1^12 h6 c0,83,15,1,0,,h1^13 h6 c0,,,,
h2 g^4,83,17,3,0,,,,h2^2 g^4,,
_P^2 h1^4 h6,84,2,1,0,,_P^2 h1^5 h6,,,3,P^2 h1^4 h6
h2^2 h4 h6,84,4,1,-4,,,,,,
_P h1^4 h6 c0,84,4,1,-2,,_P h1^5 h6 c0,,,3,P h1^4 h6 c0
D^2 T,84,4,1,0,,,,,,
t h1 h6 g,84,4,1,2,,h6 c0 d0,,,,
f2,84,4,1,4,,h1 f2,,h1^2 c3,3,h1 h4 Q3
"P x76,6",84,6,1,-3,,"P h1 x76,6",,,,
_h1^4 x1,84,6,1,-1,,_h1^5 x1,,,3,h1^4 x1
_D h1 e1 g,84,6,1,1,,_D h1^2 e1 g,,,3,D h1 e1 g
P^2 h1^5 h6,84,6,1,3,,P^2 h1^6 h6,,,,
D h1 j1,84,8,1,-4,,D h1^2 j1,,,,
P h1^5 h6 c0,84,8,1,-2,,P h1^6 h6 c0,,,,
h1^2 h4 Q3,84,8,1,0,,h1^3 h4 Q3,,,,
h2 g A',84,8,1,2,,,,t h1 g G0,,
h2 c1 H1,84,8,1,4,,,1,g Q3,,
_t^2 h2 g^4,84,10,1,-2,,t D h1 g^3,,,,
h1^5 x1,84,10,1,0,,,,,,
D h1^2 e1 g,84,10,1,2,,,,,,
_h1^12 h6 c0,84,12,1,-2,,_h1^13 h6 c0,,,3,h1^12 h6 c0
d1^2 g,84,12,1,0,,h1 d1^2 g,,M h1^2 g^2,,
_t h0 h2 g^4,84,12,2,2,,,1,_t h2^2 g^4,,
h1^13 h6 c0,84,16,1,0,,h1^14 h6 c0,,,,
D^2 x,85,3,2,-3,,,,,,
_P^2 h1^5 h6,85,3,1,-1,,_P^2 h1^6 h6,,,3,P^2 h1^5 h6
_t h2 g A',85,3,1,1,,D^2 e1,,_t^2 h1 g G0,,
h0^3 c3,85,3,1,3,,_t h1^3 h4 Q3,1,"_h1^2 x85,6",,
"x85,6",85,5,1,-4,,"h1 x85,6",,,3?,D h1 j1
h2 h6 c1,85,5,1,-2,,,,h1^2 h4 h6 c0,,
_P h1^5 h6 c0,85,5,1,0,,_P h1^6 h6 c0,,,3,P h1^5 h6 c0
h6 c0 d0,85,5,1,2,2,h2 h6 g,,,,
h1 f2,85,5,1,4,,h1^2 f2,,,3,h1^2 h4 Q3
"P h1 x76,6",85,7,1,-5,,,,,,
_h1^5 x1,85,7,1,-3,,,,,3,h1^5 x1
_D h1^2 e1 g,85,7,1,-1,,t B5 g,,,3,D h1^2 e1 g
P^2 h1^6 h6,85,7,1,1,,P^2 h1^7 h6,,,,
D^2 h0 e0 g,85,7,1,3,,,1,D^2 h0 g^2,,
h2 h4 Q3,85,7,2,5,,,1,g2^2,,
D h1^2 j1,85,9,1,-3,,,,,,
h2 g H1,85,9,1,-1,,_h1 d1^2 g,,h2^2 g H1,3,d1^2 g
P h1^6 h6 c0,85,9,1,1,,P h1^7 h6 c0,,,,
h1^3 h4 Q3,85,9,1,3,,,,,,
M g^2,85,11,2,-2,,M h1 g^2,,M h2 g^2,,
t D h1 g^3,85,11,1,0,,D c0 e0^2 g,,,,
d1 i1,85,11,1,2,,h1 d1 i1,,,,
_h1^13 h6 c0,85,13,1,-1,,_h1^14 h6 c0,,,3,h1^13 h6 c0
h1 d1^2 g,85,13,1,1,,h1^2 d1^2 g,,,,
h1^14 h6 c0,85,17,1,0,,,,,,
h0^3 h6 i,86,2,3,-1,,,,,,
"h0 x86,14",86,2,1,1,,D^3 h1 d0,,_t D^2 h0^2 g^2,,
h4 h6 c0,86,4,1,-4,,h1 h4 h6 c0,,,,
_P^2 h1^6 h6,86,4,1,-2,,_P^2 h1^7 h6,,,3,P^2 h1^6 h6
h1 c3,86,4,1,0,,h1^2 c3,,,3,h2 h4 Q3
D^2 e1,86,4,1,2,,D^2 h1 e1,,,,
_t h1^3 h4 Q3,86,4,1,4,,,,,,
"h1 x85,6",86,6,1,-4,,"h1^2 x85,6",,,3?,D h1^2 j1
_D h1^2 j1,86,6,1,-2,,D^2 c1 g,1,_t M h2 g^2,3,D h1^2 j1
_P h1^6 h6 c0,86,6,1,0,,_P h1^7 h6 c0,,,3,P h1^6 h6 c0
h2 h6 g,86,6,3,2,,,,h2^2 h6 g,,
h1^2 f2,86,6,1,4,,,,,3,h1^3 h4 Q3
t B5 g,86,8,1,-2,,,,,,
P^2 h1^7 h6,86,8,1,0,,,,,,
_d1 i1,86,8,1,2,,_h1 d1 i1,,"h1 x88,10",3,d1 i1
_h1 d1^2 g,86,10,1,-1,,_h1^2 d1^2 g,,,3,h1 d1^2 g
P h1^7 h6 c0,86,10,1,1,,P h1^8 h6 c0,,,,
M h1 g^2,86,12,1,-2,,M h1^2 g^2,,,,
D c0 e0^2 g,86,12,1,0,2,_t h2^2 g^4,,,,
h1 d1 i1,86,12,1,2,,h1^2 d1 i1,,,,
_h1^14 h6 c0,86,14,1,-1,,,,,3,h1^14 h6 c0
h1^2 d1^2 g,86,14,1,1,,,,,,
h2^2 g^4,86,18,1,0,,,,h1^2 h3 g^4,,
D^3 h1 d0,87,3,1,-3,,,,,,
"x87,7",87,3,1,-1,1,"_h1^2 x85,6",,,,
_D h1 B7,87,3,1,1,,D^2 f1,,,,
P^2 h6 c0,87,3,1,3,,P^2 h1 h6 c0,,,,
h1 h4 h6 c0,87,5,1,-3,,h1^2 h4 h6 c0,,,,
_P^2 h1^7 h6,87,5,1,-1,,t D^2 g^2,,,3,P^2 h1^7 h6
h1^2 c3,87,5,1,1,,,,,,
D^2 h1 e1,87,5,1,3,,D^2 h1^2 e1,,,,
"h1^2 x85,6",87,7,1,-2,,"x88,10",,,,
D^2 c1 g,87,7,1,0,,,,,,
_P h1^7 h6 c0,87,7,1,2,,_P h1^8 h6 c0,,,3,P h1^7 h6 c0
_h1 d1 i1,87,9,1,-2,,_h1^2 d1 i1,,,3,h1 d1 i1
t h1 g G0,87,9,1,0,,,1,h2 g Q3,,
g Q3,87,9,2,2,,,,h2 g Q3,,
_h1^2 d1^2 g,87,11,1,-1,1,M h2 g^2,,,3,h1^2 d1^2 g
P h1^8 h6 c0,87,11,1,1,,P h1^9 h6 c0,,,,
M h1^2 g^2,87,13,1,-2,,,,,,
_t h2^2 g^4,87,13,3,0,,,,g m^2,,
h1^2 d1 i1,87,13,1,2,,,,,,
P^3 h1 h6,88,2,1,0,,P^3 h1^2 h6,,,,
_t^2 h1 g G0,88,4,1,-3,,,1,_t h2 g Q3,,
"_h1^2 x85,6",88,4,2,-1,,"_x88,10",,,3,"h1^2 x85,6"
D^2 f1,88,4,1,1,,D^2 h1 f1,,,,
P^2 h1 h6 c0,88,4,1,3,,P^2 h1^2 h6 c0,,,,
h1^2 h4 h6 c0,88,6,1,-3,,,,,,
t D^2 g^2,88,6,1,-1,,t D^2 h1 g^2,,,,
D^2 h1^2 e1,88,6,1,1,,,,,,
_B6 d1,88,6,1,3,,D k1,,_D h1^2 g2 g,3,g Q3
D^2 h0 g^2,88,8,2,-4,,,1,D^2 h2 g^2,,
g2^2,88,8,2,-2,,,,,,
"x88,10",88,8,1,0,,"h1 x88,10",,,,
D g2 g,88,8,1,2,,D h1 g2 g,,,,
_P h1^8 h6 c0,88,8,1,4,,_P h1^9 h6 c0,,,3,P h1^8 h6 c0
h2^2 g H1,88,10,1,-1,,,,h1^2 h3 g H1,3,M h1^2 g^2
_h1^2 d1 i1,88,10,1,1,,"h0 x89,12",,,3,h1^2 d1 i1
M h2 g^2,88,12,2,-1,,,,M h2^2 g^2,,
P h1^9 h6 c0,88,12,1,1,,,,,,
h1 h3 g^4,88,18,1,0,,h1^2 h3 g^4,,,,
_h1^2 h4 h6 c0,89,3,1,-3,,,,,3,h1^2 h4 h6 c0
D^2 h0 c2,89,3,1,-1,,_t^2 h2 B5 g,,,3,D^2 h1^2 e1
P^3 h1^2 h6,89,3,1,1,,P^3 h1^3 h6,,,,
_t D^2 h0^2 g^2,89,3,1,3,,,1,_t D^2 h0 h2 g^2,,
"_x88,10",89,5,1,-3,,"_h1 x88,10",,,3,"x88,10"
_t h2^2 g H1,89,5,1,-1,,_D h1 g2 g,,,3,D g2 g
D^2 h1 f1,89,5,1,1,,,,,,
P^2 h1^2 h6 c0,89,5,1,3,,P^2 h1^3 h6 c0,,,,
_t M h2 g^2,89,7,2,-3,,M D h1 g,,_t M h2^2 g^2,,
h2^2 h6 g,89,7,1,-1,,,,h1^2 h3 h6 g,,
t D^2 h1 g^2,89,7,1,1,,D^2 c0 e0^2,,,,
D k1,89,7,1,3,,D h1 k1,,,,
"h1 x88,10",89,9,1,-2,,,,,,
D h1 g2 g,89,9,1,0,1,h2 g Q3,,,,
_P h1^9 h6 c0,89,9,1,2,,_P h1^10 h6 c0,,,3,P h1^9 h6 c0
"h0 x89,12",89,11,1,0,,,,,,
h1^2 h3 g^4,89,19,1,0,,,,,,
_P^2 h1^2 h6 c0,90,2,3,0,,_P^2 h1^3 h6 c0,3,h0^3 . D h2^2 h6,3,P^2 h1^2 h6 c0
_t^2 h2 B5 g,90,4,1,-2,,,,,,
P^3 h1^3 h6,90,4,1,0,,,,,,
_D k1,90,4,1,2,,_D h1 k1,,,3,D k1
"_h1 x88,10",90,6,1,-3,,_t d1 e1 g,,,3,"h1 x88,10"
_D h1 g2 g,90,6,1,-1,,_D h1^2 g2 g,,,3,D h1 g2 g
M^2,90,6,1,1,,M^2 h1,,,,
P^2 h1^3 h6 c0,90,6,1,3,,P^2 h1^4 h6 c0,,,,
M D h1 g,90,8,1,-2,,M D h1^2 g,,,,
D^2 c0 e0^2,90,8,1,0,2,D^2 h2 g^2,,,,
D h1 k1,90,8,1,2,,,,,,
h2 g Q3,90,10,2,-1,,,,D1 h1^3 e1,,
_P h1^10 h6 c0,90,10,1,1,,,,,,
d1 e1 g,90,12,1,0,,h1 d1 e1 g,,h1^2 d1 j1,,
g m^2,90,14,1,0,,,,D h1^2 h3 g^3,,
