index,stem,Adams-Novikov filtration,order,shift,h1info,h1target,h2info,h2target,drinfo,drtarget
h2^2,6,2,1,0,,,,h1^2 h3,,
h1 h3,8,2,1,0,,h1^2 h3,,,,
h1^2 h3,9,3,1,0,,,,,,
h3^2,14,2,1,-1,,,,,,
d0,14,2,1,1,,h1 d0,,h0 e0,,
h1 d0,15,3,1,0,,,,,,
h1 h4,16,2,1,0,,h1^2 h4,,,,
h0 e0,17,3,1,-1,,,1,h0 g,,
h1^2 h4,17,3,1,1,,h1^3 h4,,,,
h2 h4,18,2,2,0,,,,h2^2 h4,,
h1^3 h4,18,4,1,0,,,,,,
c1,19,3,1,0,,,,h2 c1,,
t g,20,2,1,0,,t h1 g,,,,
h0 g,20,4,2,0,,,1,h2 g,,
h2^2 h4,21,3,1,-1,,,,,,
t h1 g,21,3,1,1,,c0 d0,,,,
c0 d0,22,4,1,-1,2,h2 g,,,,
h2 c1,22,4,1,1,,,,h1^2 h4 c0,,
h4 c0,23,3,1,0,,h1 h4 c0,,,,
h2 g,23,5,3,0,,,,h2^2 g,,
h1 h4 c0,24,4,1,0,,h1^2 h4 c0,,,,
h1^2 h4 c0,25,5,1,0,,,,,,
_h1^2 h4 c0,26,2,1,0,,,,,3,h1^2 h4 c0
h2^2 g,26,6,1,0,,,,h1^2 h3 g,,
h1 h3 g,28,6,1,0,,h1^2 h3 g,,,,
h1^2 h3 g,29,7,1,0,,,,,,
h4^2,30,2,1,-1,,h1 h4^2,,p,,
r,30,2,1,1,,,,h1 q,,
h1 h4^2,31,3,1,-1,,,,,,
n,31,3,1,1,,,,h2 n,,
q,32,2,1,-1,,h1 q,,,,
h1 h5,32,2,1,1,,h1^2 h5,,,,
d1,32,4,1,0,,h1 d1,,h2 d1,,
p,33,3,1,-2,,,,,,
h1 q,33,3,1,0,,,,,,
h1^2 h5,33,3,1,2,,h1^3 h5,,,,
h1 d1,33,5,1,0,,h1^2 d1,,,,
h2 h5,34,2,2,0,,_h1^2 d1,,h2^2 h5,3,h1 d1
h2 n,34,4,1,-1,,,,,,
h1^3 h5,34,4,1,1,,h1^4 h5,,,,
h1^2 d1,34,6,1,-1,,,,,,
e0^2,34,6,1,1,,h1 e0^2,,h0 e0 g,,
_h1^2 d1,35,3,1,0,,T,,,3,h1^2 d1
h2 d1,35,5,1,-1,,,,h2^2 d1,,
h1^4 h5,35,5,1,1,,h1^5 h5,,,,
h1 e0^2,35,7,1,0,,,,,,
_h1^4 h5,36,2,1,0,,_h1^5 h5,,,3,h1^4 h5
T,36,4,1,0,,,,,,
h1^5 h5,36,6,1,0,,h1^6 h5,,,,
x,37,3,1,-2,,,,,,
_h1^5 h5,37,3,1,0,,_h1^6 h5,,,3,h1^5 h5
h2^2 h5,37,3,1,2,,,,h1^2 h3 h5,,
h0 e0 g,37,7,1,-1,,,1,h0 g^2,,
h1^6 h5,37,7,1,1,,h1^7 h5,,,,
h0^2 h3 h5,38,2,2,-1,,,,,,
h0 y,38,2,1,1,,u,,_t h0^2 g^2,,
_h1^6 h5,38,4,1,0,,_h1^7 h5,,,3,h1^6 h5
h2^2 d1,38,6,1,0,,,,h1^3 e1,,
h1^7 h5,38,8,1,0,,,,,,
u,39,3,1,-2,,,,,,
h1 h3 h5,39,3,1,0,,h1^2 h3 h5,,,,
h5 c0,39,3,1,2,,h1 h5 c0,,,,
h1 e1,39,5,1,-1,,h1^2 e1,,,,
_h1^7 h5,39,5,1,1,,t g^2,,,3,h1^7 h5
c1 g,39,7,1,0,,,,h2 c1 g,,
P h1 h5,40,2,1,0,,P h1^2 h5,,,,
h1^2 h3 h5,40,4,1,-2,,,,,,
h1 h5 c0,40,4,1,0,,h1^2 h5 c0,,,,
f1,40,4,1,2,,h1 f1,,,,
h1^2 e1,40,6,1,-1,,h1^3 e1,,,,
t g^2,40,6,1,1,,t h1 g^2,,,,
h0 g^2,40,8,2,0,,,1,h2 g^2,,
h0 c2,41,3,1,-2,,_h1^3 e1,,,3,h1^2 e1
_t h0^2 g^2,41,3,1,0,,,1,_t h0 h2 g^2,,
P h1^2 h5,41,3,1,2,,P h1^3 h5,,,,
h1^2 h5 c0,41,5,1,-1,,h1^3 h5 c0,,,,
h1 f1,41,5,1,1,,,,,,
h1^3 e1,41,7,1,-1,,,,,,
t h1 g^2,41,7,1,1,,c0 e0^2,,,,
_h1^2 h5 c0,42,2,3,0,,_h1^3 h5 c0,2,h3^2 h5,3,h1^2 h5 c0
_h1^3 e1,42,4,1,-1,,,,,3,h1^3 e1
P h1^3 h5,42,4,1,1,,,,,,
h1^3 h5 c0,42,6,1,0,,h1^4 h5 c0,,,,
h2 c1 g,42,8,1,-1,,,,h1^6 h5 c0,,
c0 e0^2,42,8,1,1,2,h2 g^2,,,,
_h1^3 h5 c0,43,3,1,-1,,_h1^4 h5 c0,,,3,h1^3 h5 c0
_t h2 c1 g,43,3,1,1,,,,,,
h1^4 h5 c0,43,7,1,0,,h1^5 h5 c0,,,,
h2 g^2,43,9,3,0,,,,h2^2 g^2,,
_t^2 h2 g^2,44,2,1,0,,t w,,,,
_h1^4 h5 c0,44,4,1,-2,,_h1^5 h5 c0,,,3,h1^4 h5 c0
g2,44,4,3,0,,h1 g2,,h2 g2,,
_t h0 h2 g^2,44,4,2,2,,,1,_t h2^2 g^2,,
h1^5 h5 c0,44,8,1,0,,h1^6 h5 c0,,,,
t w,45,3,1,-2,,u',,,,
h5 d0,45,3,1,0,,h1 h5 d0,,h0 h5 e0,,
h3^2 h5,45,3,4,2,,B1,,B2,,
_h1^5 h5 c0,45,5,1,-1,,_h1^6 h5 c0,,,3,h1^5 h5 c0
h1 g2,45,5,1,1,,h1^2 g2,,,,
h1^6 h5 c0,45,9,1,0,,,,,,
u',46,4,1,-2,2,_t h2^2 g^2,,,,
h1 h5 d0,46,4,1,0,,,,,,
B1,46,4,1,2,,h1 B1,,,,
_h1^6 h5 c0,46,6,1,-1,,,,,3,h1^6 h5 c0
h1^2 g2,46,6,1,1,,,,,,
h2^2 g^2,46,10,1,0,,,,h1^2 h3 g^2,,
P h5 c0,47,3,1,0,,P h1 h5 c0,,,,
h2 g2,47,5,1,-2,,,,,,
_t h2^2 g^2,47,5,3,0,,,,g r,,
h1 B1,47,5,1,2,,,,,,
h0 h5 e0,48,4,1,-2,,,,,,
B2,48,4,2,0,,,,h2 B2,,
P h1 h5 c0,48,4,1,2,,,,,,
h1 h3 g^2,48,10,1,0,,h1^2 h3 g^2,,,,
h1^2 h3 g^2,49,11,1,0,,,,,,
_P h1^2 h5 c0,50,2,1,0,,,,,,
h5 c1,50,4,1,0,,,,h2 h5 c1,,
g r,50,6,1,0,,,,h1^2 G3,,
h2 B2,51,5,1,-1,,,,,,
h3 g2,51,5,2,1,,h1 h3 g2,,,,
g n,51,7,1,0,,,,h2 g n,,
h1 h3 g2,52,6,1,-1,,,,,,
h1 G3,52,6,1,1,,h1^2 G3,,,,
d1 g,52,8,1,0,,h1 d1 g,,h2 d1 g,,
h2 h5 c1,53,5,1,-1,,,,,,
B8,53,5,1,1,,,,,,
h1^2 G3,53,7,1,-1,,,,,,
i1,53,7,1,1,,h1 i1,,g T,,
h1 d1 g,53,9,1,0,,h1^2 d1 g,,,,
h0 h5 i,54,2,1,0,,,,h1 Q1,,
_h1 d1 g,54,6,1,0,,_h1^2 d1 g,,,3,h1 d1 g
h2 g n,54,8,1,-1,,,,,,
h1 i1,54,8,1,1,,h1^2 i1,,,,
h1^2 d1 g,54,10,1,-1,,,,,,
h1^6 h5 e0,54,10,1,1,,h1^7 h5 e0,,h2 e0^2 g,,
B6,55,5,1,0,,,,,3,h2 g n
_h1^2 d1 g,55,7,1,0,,g T,,,3,h1^2 d1 g
h2 d1 g,55,9,1,-1,,,,h2^2 d1 g,,
h1^2 i1,55,9,1,1,,h1^3 i1,,,,
h1^7 h5 e0,55,11,1,0,,,,,,
Q1,56,2,1,0,,h1 Q1,,,,
_t h2 d1 g,56,4,1,0,,D11,,,,
_h1^2 i1,56,6,1,0,,_h1^3 i1,,,3,h1^2 i1
g T,56,8,1,0,,,,,,
h1^3 i1,56,10,1,0,,h1^4 i1,,,,
h1 Q1,57,3,1,-1,,,,,,
Q2,57,3,1,1,,h1 Q2,,_t^2 c1 g^2,,
D11,57,5,1,0,,h1 D11,,,,
_h1^3 i1,57,7,1,0,,_h1^4 i1,,,3,h1^3 i1
h2 e0^2 g,57,11,1,-1,,,1,h0 g^3,,
h1^4 i1,57,11,1,1,,h1^5 i1,,,,
h0 D2,58,2,1,0,,_h1 D11,,,3,D11
h1 Q2,58,4,1,0,,h1^2 Q2,,,,
h1 D11,58,6,1,-2,,,,,,
h3^2 g2,58,6,1,0,,,,,,
P h1^2 h5 e0,58,6,1,2,,P h1^3 h5 e0,,_t h0^2 g^3,,
_h1^4 i1,58,8,1,0,,_h1^5 i1,,,3,h1^4 i1
h2^2 d1 g,58,10,1,0,,,,h1^3 e1 g,,
h1^5 i1,58,12,1,0,,,,,,
_h1 D11,59,3,1,-1,,_t^2 c1 g^2,,,3,h1 D11
_h3^2 g2,59,3,1,1,,,,h5 n,3,h3^2 g2
h1^2 Q2,59,5,1,0,,h1^3 Q2,,,,
P h1^3 h5 e0,59,7,1,-2,,,,,,
j1,59,7,1,0,,h1 j1,,,,
h1^2 D4 + j1,59,7,1,2,,h1^3 D4 + h1 j1,,_h1^3 e1 g,3,h2^2 d1 g
h1 e1 g,59,9,1,-1,,h1^2 e1 g,,,,
_h1^5 i1,59,9,1,1,,t g^3,,,3,h1^5 i1
c1 g^2,59,11,1,0,,,,h2 c1 g^2,,
_h1^2 Q2,60,2,1,0,,_h1^3 Q2,,,3,h1^2 Q2
_t^2 c1 g^2,60,4,1,0,,,,,,
_h1 e1 g,60,6,1,-1,,_h1^2 e1 g,,,3,h1 e1 g
h1^3 Q2,60,6,1,1,,h1^4 Q2,,,,
h1 j1,60,8,1,-1,,h1^2 j1,,,,
h1^3 D4 + h1 j1,60,8,1,1,,h1^4 D4 + h1^2 j1,,,,
h1^2 e1 g,60,10,1,-1,,h1^3 e1 g,,,,
t g^3,60,10,1,1,,t h1 g^3,,,,
h0 g^3,60,12,2,0,,,1,h2 g^3,,
_h1^3 Q2,61,3,1,-1,,_h1^4 Q2,,,3,h1^3 Q2
A',61,3,1,1,,E1,,h2 A',,
_h1 j1,61,5,1,0,,_h1^2 j1,,h1^2 E1,3,h1 j1
_h1^2 e1 g,61,7,1,-2,,_h1^3 e1 g,,,3,h1^2 e1 g
h1^4 Q2,61,7,1,0,,h1^5 Q2,,,,
_t h0^2 g^3,61,7,1,2,,,1,_t h0 h2 g^3,,
h1^2 j1,61,9,1,-1,,,,,,
h1^4 D4 + h1^2 j1,61,9,1,1,,h1^5 D4,,,,
h1^3 e1 g,61,11,1,-1,,,,,,
t h1 g^3,61,11,1,1,,,,h1^6 h5 c0 e0,,
R,62,2,1,-2,,,,,,
_t h1^2 B21,62,2,1,0,,_t h1^3 B21,,P h5 j,,
h5^2,62,2,1,2,,h1 h5^2,,h2 h5^2,,
h5 n,62,4,1,-2,,,,,,
_h1^4 Q2,62,4,1,0,,_h1^5 Q2,,,3,h1^4 Q2
E1,62,4,1,2,,h1 E1,,,,
_h1^2 j1,62,6,1,-1,,_h1^5 D4,,,3,h1^2 j1
_h1^4 D4,62,6,1,1,,_t h2 c1 g^2,1,h1^2 X2,3,h1^4 D4 + h1^2 j1
_h1^3 e1 g,62,8,1,-1,,,,,3,h1^3 e1 g
h1^5 Q2,62,8,1,1,,,,,,
h1^5 D4,62,10,1,0,,h1^6 D4,,,,
h1^6 h5 c0 e0,62,12,1,-1,2,h2 g^3,,,,
h2 c1 g^2,62,12,1,1,,,,h1^8 D4,,
_t h1^3 B21,63,3,1,-3,,,,,,
_h1 B7,63,3,1,-1,,h3 Q2,,,,
h1 h5^2,63,3,1,1,,h1^2 h5^2,,,,
_h1^2 B3,63,3,1,3,,_h1^3 B3,,t B5,,
_h1^5 Q2,63,5,1,-1,,_t^2 h2 g^3,,,3,h1^5 Q2
h1 E1,63,5,1,1,,h1^2 E1,,,,
_h1^5 D4,63,7,1,-1,,_h1^6 D4,,,3,h1^5 D4
_t h2 c1 g^2,63,7,1,1,,,,,,
h1^6 D4,63,11,1,0,,h1^7 D4,,,,
h2 g^3,63,13,3,0,,,,h2^2 g^3,,
q1,64,2,1,-1,,h1 q1,,,,
h1 h6,64,2,1,1,,h1^2 h6,,,,
h3 Q2,64,4,1,-4,,h1 h3 Q2,,,,
h1^2 h5^2,64,4,1,-2,,h1^3 h5^2,,,,
_h1^3 B3,64,4,1,0,,c0 Q2,,,,
h2 A',64,4,1,2,,,,t h1 G0,,
h2 D3,64,4,1,4,,,,h0 n1,,
_t^2 h2 g^3,64,6,1,-1,,t g w,,,,
h1^2 E1,64,6,1,1,,,,,,
_h1^6 D4,64,8,1,-2,,_h1^7 D4,,,3,h1^6 D4
_t h0 h2 g^3,64,8,2,0,,,1,_t h2^2 g^3,,
d1^2,64,8,1,2,,h1 d1^2,,h1^4 X2,,
h1^7 D4,64,12,1,0,,h1^8 D4,,,,
h0 h3 D2,65,3,1,-4,,t B5,,,3,h1^2 E1
P h5 j,65,3,1,-2,,,1,h0^4 G21,,
h2 h5^2,65,3,1,0,,,,t h1 Q3,,
h1 q1,65,3,1,2,,h1^2 q1,,,,
h1^2 h6,65,3,1,4,,h1^3 h6,,,,
h1 h3 Q2,65,5,1,-3,,,,,,
h1^3 h5^2,65,5,1,-1,,,,,,
c0 Q2,65,5,1,1,,h1 c0 Q2,,,,
h2 H1,65,5,1,3,,_h1 d1^2,,h2^2 H1,3,d1^2
t g w,65,7,1,-2,,h1^5 X1,,,,
k1,65,7,1,0,,h1 k1,,,,
h1^2 X2,65,7,2,2,,h1^3 X2,,h2 B23,,
_h1^7 D4,65,9,1,-1,,_h1^8 D4,,,3,h1^7 D4
h1 d1^2,65,9,1,1,,h1^2 d1^2,,,,
h1^8 D4,65,13,1,0,,,,,,
h0 h2 h6,66,2,1,-1,,t Q3,,,3,h1^3 h5^2
_c0 Q2,66,2,3,1,,_h1 c0 Q2,1,_h1 X3,3,c0 Q2
t B5,66,4,1,-2,,,,,,
h1^2 q1,66,4,1,0,,,,,,
h1^3 h6,66,4,1,2,,h1^4 h6,,,,
h1 c0 Q2,66,6,1,-2,,h1^2 c0 Q2,,,,
_h1 d1^2,66,6,1,0,,_h1^2 d1^2,,,3,h1 d1^2
D1 h3^2,66,6,1,2,,h1 . D1 h3^2,,h0 h2 G0,,
h1^5 X1,66,8,1,-2,2,_t h2^2 g^3,,,,
h1 k1,66,8,1,0,,h1^2 k1,,,,
h1^3 X2,66,8,1,2,,h1^4 X2,,,,
_h1^8 D4,66,10,1,-1,,,,,3,h1^8 D4
h1^2 d1^2,66,10,1,1,,,,,,
h2^2 g^3,66,14,1,0,,,,h1^2 h3 g^3,,
t Q3,67,3,1,-2,,t h1 Q3,,,,
_h1 c0 Q2,67,3,1,0,,_h1^2 c0 Q2,,,3,h1 c0 Q2
C11,67,3,1,2,,,,,,
t h1 G0,67,5,1,-4,,,,,,
h0 n1,67,5,1,-2,,,,,,
_h1 k1,67,5,1,0,,_h1^2 k1,,,3,h1 k1
h1^4 h6,67,5,1,2,,h1^5 h6,,,,
h0 Q3,67,5,1,4,,,1,h2 Q3,,
h1^2 c0 Q2,67,7,1,-2,,h1^3 c0 Q2,,,,
_h1^2 d1^2,67,7,1,0,1,h2 B23,,,3,h1^2 d1^2
h1 . D1 h3^2,67,7,1,2,,h1^2 . D1 h3^2,,,,
_t h2^2 g^3,67,9,3,-2,,,,m^2,,
h1^2 k1,67,9,1,0,,,,,,
h1^4 X2,67,9,1,2,,,,,,
_t B8 d0,68,2,1,-1,,t W1,,,,
_h1^4 h6,68,2,1,1,,_h1^5 h6,,,3,h1^4 h6
h0^4 G21,68,4,2,-4,,,1,D^2 h2 g,,
t h1 Q3,68,4,1,-2,,,,,,
_h1^2 c0 Q2,68,4,1,0,,_h1^3 c0 Q2,,,3,h1^2 c0 Q2
h3(A+A'),68,4,1,2,,h1 G21,,,,
h0 d2,68,4,1,4,,_h1^2 . D1 h3^2,,d0 Q2,3,h1 . D1 h3^2
_h1^2 k1,68,6,1,-2,,h0 h2 G0,,,3,h1^2 k1
h2^2 H1,68,6,1,0,,,,h1^2 h3 H1,3,h1^4 X2
h1^5 h6,68,6,1,2,,h1^6 h6,,,,
h1^3 c0 Q2,68,8,1,-2,,,,,,
h2 B23,68,8,2,0,,,,M h2^2 g,,
h1^2 . D1 h3^2,68,8,1,2,,h1^3 . D1 h3^2,,,,
h1 h3 g^3,68,14,1,0,,h1^2 h3 g^3,,,,
t W1,69,3,1,-4,,t h1 W1,,,,
_h1 X3,69,3,3,-2,,_h1^2 X3,,d0 D2,,
_h1^5 h6,69,3,1,0,,_h1^6 h6,,,3,h1^5 h6
p',69,3,1,2,,h1 p',,,,
h2^2 h6,69,3,1,4,,,,h1^2 h3 h6,,
_h1^3 c0 Q2,69,5,1,-2,,_P h1^4 D4,,,3,h1^3 c0 Q2
h1 G21,69,5,1,0,,,,,,
_h1^2 . D1 h3^2,69,5,1,2,,_h1^3 . D1 h3^2,,,3,h1^2 . D1 h3^2
h0 h2 G0,69,7,1,-1,,,,,,
h1^6 h6,69,7,1,1,,h1^7 h6,,,,
h1^3 . D1 h3^2,69,9,1,0,,h1^4 . D1 h3^2,,,,
h1^2 h3 g^3,69,15,1,0,,,,,,
h0^2 h3 h6,70,2,2,0,,_h0^2 h2 Q3,,h4 D2,3?,h1 G21
h0^2 h3 h6 again,70,2,2,0,,,,,,
t h1 W1,70,4,1,-4,2,D^2 h2 g,,,,
_h1^2 X3,70,4,1,-2,,d0 Q2,,,,
_h1^6 h6,70,4,1,0,,_h1^7 h6,,,3,h1^6 h6
h1 p',70,4,1,2,,h1^2 p',,,,
_h1 h3 B7,70,4,1,4,,,,,,
h2 Q3,70,6,2,-2,,,,h2^2 Q3,,
_P h1^4 D4,70,6,1,0,,,,,,
_h1^3 . D1 h3^2,70,6,1,2,,_h1^4 . D1 h3^2,,,3,h1^3 . D1 h3^2
d1 e1,70,8,1,-1,,h1 d1 e1,,h1^2 l1,,
h1^7 h6,70,8,1,1,,h1^8 h6,,,,
m^2,70,10,1,-1,,,,D h1^2 h3 g^2,,
h1^4 . D1 h3^2,70,10,1,1,,h1^5 . D1 h3^2,,,,
h1 h3 h6,71,3,1,-3,,h1^2 h3 h6,,,,
_h0^2 h2 Q3,71,3,1,-1,,h4 Q2,,,,
h6 c0,71,3,1,1,,h1 h6 c0,,,,
D^2 h4 c0,71,3,1,3,,D^2 h1 h4 c0,,,,
D^2 h2 g,71,5,3,-3,,,,D^2 h2^2 g,,
d0 Q2,71,5,1,-1,,,,,,
_h1^7 h6,71,5,1,1,,_h1^8 h6,,,3,h1^7 h6
h1^2 p',71,5,1,3,,h1^3 p',,,,
l1,71,7,1,-2,,h1 l1,,,,
h1^2 h3 H1,71,7,1,0,,,,h3 C'',,
_h1^4 . D1 h3^2,71,7,1,2,,_h1^5 . D1 h3^2,,,3,h1^4 . D1 h3^2
M h2^2 g,71,9,1,-2,,,1,_h1 d1 g^2,,
h1 d1 e1,71,9,1,0,,h1^2 d1 e1,,,,
h1^8 h6,71,9,1,2,,h1^9 h6,,,,
h1^5 . D1 h3^2,71,11,1,-1,,,,,,
g^2 n,71,11,1,1,,,,h2 g^2 n,,
P h1 h6,72,2,1,0,,P h1^2 h6,,,,
d0 D2,72,4,1,-4,,,1,_h3 C'',,
h1^2 h3 h6,72,4,1,-2,,,,,,
h4 Q2,72,4,1,0,,h1 h4 Q2,,,,
h1 h6 c0,72,4,1,2,,h1^2 h6 c0,,,,
D^2 h1 h4 c0,72,4,1,4,,,,,,
_h1 d1 e1,72,6,1,-3,,_h1^2 d1 e1,,,3,h1 d1 e1
"h1 x71,6",72,6,1,-1,,"h1^2 x71,6",,,,
_h1^8 h6,72,6,1,1,,_h1^9 h6,,,3,h1^8 h6
h1^3 p',72,6,1,3,,,,,,
h1 l1,72,8,1,-2,,h1^2 l1,,,,
_h1^5 . D1 h3^2,72,8,1,0,,h2^2 C'',,,3,h1^5 . D1 h3^2
h2^2 G0,72,8,1,2,,h1^4 D3',,g B6,3,g^2 n
D h1 h3 g^2,72,10,1,-2,,D h1^2 h3 g^2,,,,
h1^2 d1 e1,72,10,1,0,,,,,,
h1^9 h6,72,10,1,2,,h1^10 h6,,,,
d1 g^2,72,12,1,0,,h1 d1 g^2,,h2 d1 g^2,,
_h1^3 p',73,3,1,-2,,_h0 h2^2 Q3,,,3,h1^3 p'
h4 D2,73,3,1,0,,,1,"h0 x76,6",,
P h1^2 h6,73,3,1,2,,P h1^3 h6,,,,
h1 h4 Q2,73,5,1,-2,,h1^2 h4 Q2,,,,
h1^2 h6 c0,73,5,1,0,,h1^3 h6 c0,,,,
_h1 l1,73,5,1,2,,_h1^2 l1,,,3,h1 l1
h2^2 Q3,73,7,1,-3,,,,,,
_h1^2 d1 e1,73,7,1,-1,,h3 C'',,,3,h1^2 d1 e1
"h1^2 x71,6",73,7,1,1,,"h1^3 x71,6",,,,
_h1^9 h6,73,7,1,3,,_h1^10 h6,,,3,h1^9 h6
h1^2 l1,73,9,1,-2,,,,,,
h2^2 C'',73,9,1,0,1,_h1 d1 g^2,,,,
h1^4 D3',73,9,1,2,,,,,,
D h1^2 h3 g^2,73,11,1,-1,,,,,,
h1^10 h6,73,11,1,1,,h1^11 h6,,,,
h1 d1 g^2,73,13,1,0,,h1^2 d1 g^2,,,,
_D^2 h1^2 h4 c0,74,2,1,-1,,,,,,
P h2 h6,74,2,2,1,,_h1^2 h4 Q2,1,"x77,7",3,h1 h4 Q2
_h0 h2^2 Q3,74,4,1,-2,,,,,,
"_h1^2 x71,6",74,4,1,0,,"_h1^3 x71,6",,,3,"h1^2 x71,6"
P h1^3 h6,74,4,1,2,,P h1^4 h6,,,,
D^2 h2^2 g,74,6,1,-4,,,,D^2 h1^2 h3 g,,
h1^2 h4 Q2,74,6,1,-2,,_t h2 g^2 n,,,,
h1^3 h6 c0,74,6,1,0,,h1^4 h6 c0,,,,
_h1^2 l1,74,6,1,2,,,,,3,h1^2 l1
"x74,8",74,6,1,4,,,,,,
h3 C'',74,8,1,-2,,,,,,
"h1^3 x71,6",74,8,1,0,,"h1^4 x71,6",,,,
_h1^10 h6,74,8,1,2,,_h1^11 h6,,,3,h1^10 h6
_h1 d1 g^2,74,10,2,0,,_h1^2 d1 g^2,,h1^2 g B6,3,h1 d1 g^2
h2 g^2 n,74,12,1,-1,,,,,,
h1^11 h6,74,12,1,1,,h1^12 h6,,,,
h1^2 d1 g^2,74,14,1,-1,,,,,,
e0^2 g^2,74,14,1,1,,h1 e0^2 g^2,,h0 e0 g^3,,
_h1^2 h4 Q2,75,3,1,-1,,_t g B6,,,3,h1^2 h4 Q2
_h1^3 h6 c0,75,3,1,1,,_h1^4 h6 c0,,,3,h1^3 h6 c0
_h3 C'',75,5,2,-3,,,,e0 A',3,h3 C''
_h3 C'' again,75,5,2,-3,,,,,,
"_h1^3 x71,6",75,5,1,-1,,"_h1^4 x71,6",,,3,"h1^3 x71,6"
P h1^4 h6,75,5,1,1,,P h1^5 h6,,,,
h0 h3 d2,75,5,1,3,,,,,,
_t h2 g^2 n,75,7,1,-1,,,,,,
h1^4 h6 c0,75,7,1,1,,h1^5 h6 c0,,,,
g B6,75,9,1,-2,,,,,3,h2 g^2 n
"h1^4 x71,6",75,9,1,0,,h1 g B6,,,,
