name,cell,image,stem,Adams filtration,weight,Adams-Novikov filtration,h1target,h2target,h3target,theta2,theta3,theta4,theta5
v1^18v2^1[26-0],B,v1^18v2^1[26-0],68,45,47,26,v1^18v2^1[27-0],,,,,,
v1^21[26-0],T,v1^20[27-0],68,46,47,26,v1^21[27-0],,v1^21v2^1[27-0],,,,
v1^17v2^1[28-0],T,v1^16v2^1[29-0],68,45,48,28,v1^17v2^1[29-0]+v1^20[29-0],,v1^20v2^1[29-0],,,,
v1^20[28-0],B,v1^20[28-0],68,48,48,28,v1^20[29-0],,v1^20v2^1[29-0],,,,
v1^16v2^1[30-0],B,v1^16v2^1[30-0],68,47,49,30,v1^16v2^1[31-0],,,,,,
v1^19[30-0],T,v1^18[31-0],68,48,49,30,v1^19[31-0],,v1^19v2^1[31-0],,,,
v1^15v2^1[32-0],T,v1^14v2^1[33-0],68,47,50,32,v1^15v2^1[33-0]+v1^18[33-0],,v1^18v2^1[33-0],,,,
v1^18[32-0],B,v1^18[32-0],68,50,50,32,v1^18[33-0],,v1^18v2^1[33-0],,,,
v1^14v2^1[34-0],B,v1^14v2^1[34-0],68,49,51,34,v1^14v2^1[35-0],,,,,,
v1^17[34-0],T,v1^16[35-0],68,50,51,34,v1^17[35-0],,v1^17v2^1[35-0],,,,
v1^13v2^1[36-0],T,v1^12v2^1[37-0],68,49,52,36,v1^13v2^1[37-0]+v1^16[37-0],,v1^16v2^1[37-0],,,,
v1^16[36-0],B,v1^16[36-0],68,52,52,36,v1^16[37-0],,v1^16v2^1[37-0],,,,
v1^12v2^1[38-0],B,v1^12v2^1[38-0],68,51,53,38,,,,,,,
v1^15[38-0],B,v1^15[38-0],68,53,53,38,,,,,,,
v1^3[1-5],T,v1^2[2-11],69,3,35,1,v1^3[2-11],,v1^3v2^1[2-11],,v1^3[2-14]+v1^41[2-0]+v1^10[2-11],,
v1^5v2^7v3^1[1-1],T,v1^5v2^6v3^1[2-2],69,13,35,1,v1^6v2^6v3^1[2-2]+v1^31v2^1[2-0],,,,,,
v1^31v2^1[1-0],T,v1^30v2^1[2-0],69,32,35,1,v1^31v2^1[2-0]+v1^34[2-0],,,,,,
v1^34[1-0],B,v1^34[1-0],69,35,35,1,v1^34[2-0],,v1^34v2^1[2-0],,,,
[3-14],B,[3-14],69,3,36,3,v1^2[4-12]+v1^6v2^3[4-6]+v1^30v2^1[4-0],[4-15],v1^2v2^1[4-12]+v1^36[4-0],,[4-20]+v1^2[4-17],,
v2^1[3-11],B,v2^1[3-11],69,4,36,3,v2^1[4-11]+v1^6v2^3[4-6]+v1^30v2^1[4-0],,,,,v2^1[4-23],
v3^2[3-9],T,v3^2[4-6],69,5,36,3,v1^1v3^2[4-6]+v1^2v3^1v4^1[4-2]+v1^4v2^5[4-3]+v2^5[4-6]+v1^1v2^3[4-10]+v1^6v2^3[4-6]+v1^30v2^1[4-0],v1^2v2^3[4-10]+v1^1v2^5[4-6],v3^2[4-9]+v2^6[4-6]+v1^1v2^4v3^2[4-2]+v1^1v2^2v3^1[4-9]+v1^36[4-0],v3^2[4-9],v1^1v2^7[4-6]+v1^5v2^4v3^2[4-2]+v1^9[4-12]+v1^37v2^1[4-0]+v1^40[4-0],v1^2v2^4v3^2[4-8]+v1^48[4-0],
v1^2[3-13],B,v1^2[3-13],69,5,36,3,v1^2[4-12],,v1^2v2^1[4-12]+v1^36[4-0],,v1^2[4-17],,
v1^3[3-11],T,v1^2[4-11],69,5,36,3,v1^33[4-0],,v1^33v2^1[4-0]+v1^36[4-0],,,,
v2^3v3^1[3-7],T,v1^1v3^1v4^1[4-2],69,6,36,3,v1^2v3^1v4^1[4-2]+v1^4v2^5[4-3]+v1^1v2^3[4-10]+v1^6v2^3[4-6],v1^7v2^3[4-6],v1^1v2^2v3^1[4-9]+v1^36[4-0],v1^1v2^2v3^1[4-9]+v1^36[4-0],v1^5v2^4v3^2[4-2]+v1^37v2^1[4-0]+v1^40[4-0],v1^2v2^5v3^1v4^1[4-2]+v1^48[4-0],
v2^4v3^3[3-0],B,v2^4v3^3[3-0],69,10,36,3,v2^5[4-6]+v1^6v2^3[4-6]+v1^30v2^1[4-0],v1^1v2^5[4-6]+v1^5v2^5[4-3],,v2^6[4-6],,,
v1^3v2^5v3^1[3-3],T,v1^3v2^5[4-3],69,11,36,3,v1^4v2^5[4-3]+v1^6v2^3[4-6]+v1^30v2^1[4-0],,v1^33v2^1[4-0]+v1^36[4-0],,v1^5v2^4v3^2[4-2]+v1^37v2^1[4-0]+v1^40[4-0],,
v1^6v2^2v3^3[3-0],B,v1^6v2^2v3^3[3-0],69,14,36,3,v1^6v2^3[4-6]+v1^30v2^1[4-0],,,,,,
v1^30v2^1[3-0],B,v1^30v2^1[3-0],69,34,36,3,v1^30v2^1[4-0],,,,,,
v1^33[3-0],T,v1^32[4-0],69,35,36,3,v1^33[4-0],,v1^33v2^1[4-0]+v1^36[4-0],,,,
v1^1[5-14],T,[6-11],69,5,37,5,v1^1[6-11],,v1^1v2^1[6-11],,,,
v3^3[5-2],T,v4^1[6-5],69,6,37,5,v1^29v2^1[6-0],v2^2v3^1[6-7]+v1^30v2^1[6-0],v1^32v2^1[6-0],,v2^4v3^1[6-7]+v1^1v2^2v4^1[6-6]+v1^1v2^9[6-2]+v1^39[6-0]+v2^5v3^1[6-6],,
v1^1[5-13],B,v1^1[5-13],69,6,37,5,v1^2[6-10]+v1^5v2^1v3^2[6-1],,v1^2v2^1[6-10]+v1^32v2^1[6-0],,v1^2[6-15]+v1^8[6-11]+v1^36v2^1[6-0],,
v1^1v2^1v3^1[5-9],T,v1^1v3^1[6-8],69,7,37,5,v1^2v3^1[6-8]+v1^29v2^1[6-0]+v1^5v2^1v3^2[6-1],,v1^32v2^1[6-0],,,,
v1^2v4^1[5-4],B,v1^2v4^1[5-4],69,8,37,5,v1^5v2^1v3^2[6-1]+v1^32[6-0],,v1^32v2^1[6-0],,,,
v1^4v2^1v3^1[5-7],B,v1^4v2^1v3^1[5-7],69,11,37,5,v1^5v2^1v3^2[6-1],,,,,,
v1^29v2^1[5-0],T,v1^28v2^1[6-0],69,34,37,5,v1^29v2^1[6-0]+v1^32[6-0],,,,,,
v1^32[5-0],B,v1^32[5-0],69,37,37,5,v1^32[6-0],,v1^32v2^1[6-0],,,,
[7-9],B,[7-9],69,7,38,7,[8-11],,v2^1[8-11]+v1^34[8-0],,,,
v1^1[7-8],T,[8-9],69,7,38,7,v1^1[8-9]+v1^31[8-0],,v1^1v2^1[8-9]+v1^34[8-0],,v1^1[8-16]+v1^7[8-11]+v1^35v2^1[8-0],,
v1^2v2^1[7-6],B,v1^2v2^1[7-6],69,10,38,7,v1^28v2^1[8-0],,,,,,
v1^5v4^1[7-1],T,v1^4v2^1[8-4],69,12,38,7,v1^28v2^1[8-0],,,,,,
v1^28v2^1[7-0],B,v1^28v2^1[7-0],69,36,38,7,v1^28v2^1[8-0],,,,,,
v1^31[7-0],T,v1^30[8-0],69,37,38,7,v1^31[8-0],,v1^31v2^1[8-0]+v1^34[8-0],,,,
[9-10],B,[9-10],69,9,39,9,[10-8],,v2^1[10-8]+v1^30v2^1[10-0],,[10-12]+v1^6[10-10],,
v1^27v2^1[9-0],T,v1^26v2^1[10-0],69,36,39,9,v1^27v2^1[10-0]+v1^30[10-0],,,,,,
v1^30[9-0],B,v1^30[9-0],69,39,39,9,v1^30[10-0],,v1^30v2^1[10-0],,,,
v1^26v2^1[11-0],B,v1^26v2^1[11-0],69,38,40,11,v1^26v2^1[12-0],,,,,,
v1^29[11-0],T,v1^28[12-0],69,39,40,11,v1^29[12-0],,v1^29v2^1[12-0]+v1^32[12-0],,,,
v1^1[13-2],T,[14-2],69,13,41,13,v1^1[14-2],,,v1^1v2^1[14-2],,,
v1^25v2^1[13-0],T,v1^24v2^1[14-0],69,38,41,13,v1^25v2^1[14-0]+v1^28[14-0],,,,,,
v1^28[13-0],B,v1^28[13-0],69,41,41,13,v1^28[14-0],,v1^28v2^1[14-0],,,,
[15-1],B,[15-1],69,15,42,15,,,,,,,
v1^24v2^1[15-0],B,v1^24v2^1[15-0],69,40,42,15,v1^24v2^1[16-0],,,,,,
v1^27[15-0],T,v1^26[16-0],69,41,42,15,v1^27[16-0],,v1^27v2^1[16-0]+v1^30[16-0],,,,
v1^23v2^1[17-0],T,v1^22v2^1[18-0],69,40,43,17,v1^23v2^1[18-0]+v1^26[18-0],,,,,,
v1^26[17-0],B,v1^26[17-0],69,43,43,17,v1^26[18-0],,v1^26v2^1[18-0],,,,
v1^22v2^1[19-0],B,v1^22v2^1[19-0],69,42,44,19,v1^22v2^1[20-0],,,,,,
v1^25[19-0],T,v1^24[20-0],69,43,44,19,v1^25[20-0],,v1^25v2^1[20-0]+v1^28[20-0],,,,
v1^21v2^1[21-0],T,v1^20v2^1[22-0],69,42,45,21,v1^21v2^1[22-0]+v1^24[22-0],,,,,,
v1^24[21-0],B,v1^24[21-0],69,45,45,21,v1^24[22-0],,v1^24v2^1[22-0],,,,
v1^20v2^1[23-0],B,v1^20v2^1[23-0],69,44,46,23,v1^20v2^1[24-0],,,,,,
v1^23[23-0],T,v1^22[24-0],69,45,46,23,v1^23[24-0],,v1^23v2^1[24-0]+v1^26[24-0],,,,
v1^19v2^1[25-0],T,v1^18v2^1[26-0],69,44,47,25,v1^19v2^1[26-0]+v1^22[26-0],,,,,,
v1^22[25-0],B,v1^22[25-0],69,47,47,25,v1^22[26-0],,v1^22v2^1[26-0],,,,
v1^18v2^1[27-0],B,v1^18v2^1[27-0],69,46,48,27,v1^18v2^1[28-0],,,,,,
v1^21[27-0],T,v1^20[28-0],69,47,48,27,v1^21[28-0],,v1^21v2^1[28-0]+v1^24[28-0],,,,
v1^17v2^1[29-0],T,v1^16v2^1[30-0],69,46,49,29,v1^17v2^1[30-0]+v1^20[30-0],,,,,,
v1^20[29-0],B,v1^20[29-0],69,49,49,29,v1^20[30-0],,v1^20v2^1[30-0],,,,
v1^16v2^1[31-0],B,v1^16v2^1[31-0],69,48,50,31,v1^16v2^1[32-0],,,,,,
v1^19[31-0],T,v1^18[32-0],69,49,50,31,v1^19[32-0],,v1^19v2^1[32-0]+v1^22[32-0],,,,
v1^15v2^1[33-0],T,v1^14v2^1[34-0],69,48,51,33,v1^15v2^1[34-0]+v1^18[34-0],,,,,,
v1^18[33-0],B,v1^18[33-0],69,51,51,33,v1^18[34-0],,v1^18v2^1[34-0],,,,
v1^14v2^1[35-0],B,v1^14v2^1[35-0],69,50,52,35,v1^14v2^1[36-0],,,,,,
v1^17[35-0],T,v1^16[36-0],69,51,52,35,v1^17[36-0],,v1^17v2^1[36-0]+v1^20[36-0],,,,
v1^13v2^1[37-0],T,v1^12v2^1[38-0],69,50,53,37,,,,,,,
v1^16[37-0],B,v1^16[37-0],69,53,53,37,,,,,,,
v1^35[0-0],T,v1^34[1-0],70,34,35,0,v1^35[1-0],,v1^35v2^1[1-0],,,,
v2^1[2-11],T,[3-14],70,2,36,2,v1^1v2^1[3-11]+v2^1[3-13],v1^1[3-15]+v1^35[3-0]+v1^4[3-13],,v1^2v2^1v3^2v4^1[3-1]+v2^2[3-13],v2^1[3-17]+v1^3[3-17]+v1^7v2^1[3-13],v2^6[3-13]+v1^46v2^1[3-0],
[2-13],T,v2^1[3-11],70,3,36,2,v1^1v2^1[3-11]+v1^3[3-13]+v1^7v2^2v3^3[3-0]+v1^31v2^1[3-0]+[3-15]+v2^1[3-13],,v1^2v2^1v3^2v4^1[3-1]+v1^3v2^1[3-13]+v1^37[3-0]+[3-16]+v2^2[3-13],v1^2v2^1v3^2v4^1[3-1]+[3-16]+v2^2[3-13]+v1^6[3-13],v2^1[3-17]+v1^7v2^1[3-13]+v1^41[3-0]+v1^10[3-13],v1^2v3^2[3-14]+v1^46v2^1[3-0],
v1^3[2-11],T,v1^2[3-13],70,4,36,2,v1^3[3-13],,v1^3v2^1[3-13]+v1^37[3-0]+v1^6[3-13],,v1^3[3-17]+v1^41[3-0]+v1^10[3-13],,
v3^4[2-3],B,v3^4[2-3],70,6,36,2,v1^1v3^2[3-9]+v1^4v2^5v3^1[3-3],v1^2v2^4v3^3[3-0]+v1^32v2^1[3-0],v2^2v3^1v4^1[3-4]+v1^34v2^1[3-0],v1^2v2^1v3^2v4^1[3-1]+v2^2v3^1v4^1[3-4],v1^2v4^2[3-4]+v1^6v2^1v3^2v4^1[3-1]+v1^10[3-13]+v1^38v2^1[3-0],,
v1^6v2^6v3^1[2-2],T,v1^6v2^2v3^3[3-0],70,13,36,2,v1^7v2^2v3^3[3-0]+v1^31v2^1[3-0]+v1^34[3-0],,v1^34v2^1[3-0],,,,
v1^31v2^1[2-0],T,v1^30v2^1[3-0],70,33,36,2,v1^31v2^1[3-0]+v1^34[3-0],,v1^34v2^1[3-0],,,,
v1^34[2-0],B,v1^34[2-0],70,36,36,2,v1^34[3-0],,v1^34v2^1[3-0],,,,
v2^1[4-11],B,v2^1[4-11],70,5,37,4,v2^1[5-12],,,,,,
v1^1v3^2[4-6],T,v1^1[5-13],70,5,37,4,v1^2[5-13]+v1^5v2^1v3^1[5-7]+v1^30v2^1[5-0],,v1^2v2^4v3^1[5-4]+v1^36[5-0],,v1^3[5-17]+v1^9[5-14]+v1^40[5-0],,
v1^2[4-12],B,v1^2[4-12],70,6,37,4,v1^2[5-14],,v1^2v2^1[5-14],,v1^2[5-18],,
v1^2v3^1v4^1[4-2],T,v1^2v4^1[5-4],70,7,37,4,v1^33[5-0]+v1^30v2^1[5-0],,v1^33v2^1[5-0],,,,
v1^1v2^3[4-10],B,v1^1v2^3[4-10],70,8,37,4,v1^2v2^1v3^1[5-9],,,,,,
v2^5[4-6],B,v2^5[4-6],70,9,37,4,v1^2v2^1v3^1[5-9]+v1^30v2^1[5-0],,,v1^1v2^2v3^2[5-4]+v1^5[5-13]+v1^36[5-0],,,
v1^4v2^5[4-3],T,v1^4v2^1v3^1[5-7],70,10,37,4,v1^5v2^1v3^1[5-7]+v1^33[5-0],,v1^33v2^1[5-0],,,,
v1^6v2^3[4-6],B,v1^6v2^3[4-6],70,13,37,4,,,,,,,
v1^30v2^1[4-0],B,v1^30v2^1[4-0],70,35,37,4,v1^30v2^1[5-0],,,,,,
v1^33[4-0],T,v1^32[5-0],70,36,37,4,v1^33[5-0],,v1^33v2^1[5-0],,,,
[6-12],B,[6-12],70,6,38,6,v1^32[7-0],[7-11]+v1^30v2^1[7-0],v1^32v2^1[7-0],,[7-16]+v1^2v2^2v4^1[7-3]+v1^8[7-9]+v1^36v2^1[7-0],v1^1v3^2[7-10]+v1^1v3^2v4^1[7-4]+[7-21]+v2^12[7-1]+v1^44v2^1[7-0],
v1^1[6-11],T,[7-9],70,6,38,6,v1^1[7-9],,v1^1v2^1[7-9]+v1^35[7-0]+v1^4[7-9],,,,
v1^2[6-10],B,v1^2[6-10],70,8,38,6,v1^2[7-8],,v1^2v2^1[7-8],,v1^2[7-14]+v1^8[7-9]+v1^36v2^1[7-0],,
v1^2v3^1[6-8],T,v1^2v2^1[7-6],70,9,38,6,v1^29v2^1[7-0],,,,,,
v1^5v2^1v3^2[6-1],B,v1^5v2^1v3^2[6-1],70,14,38,6,,,,,,,
v1^29v2^1[6-0],T,v1^28v2^1[7-0],70,35,38,6,v1^29v2^1[7-0]+v1^32[7-0],,v1^32v2^1[7-0],,,,
v1^32[6-0],B,v1^32[6-0],70,38,38,6,v1^32[7-0],,v1^32v2^1[7-0],,,,
[8-10],B,[8-10],70,8,39,8,[9-11]+v1^28v2^1[9-0],[9-13]+v2^3[9-5]+v1^2[9-10]+v1^32[9-0],[9-14]+v2^4[9-3]+v1^34[9-0],[9-14]+v2^4[9-3]+v1^34[9-0],v1^1[9-16]+v1^2v2^2v3^1[9-4]+v1^35v2^1[9-0]+v1^38[9-0],,
[8-11],B,[8-11],70,8,39,8,[9-12],,v2^1[9-12],,,,
v1^1[8-9],T,[9-10],70,8,39,8,v1^1[9-10]+v1^31[9-0],,v1^1v2^1[9-10]+v1^31v2^1[9-0]+v1^34[9-0],,v1^1[9-16]+v1^7[9-12]+v1^35v2^1[9-0]+v1^38[9-0],,
v1^28v2^1[8-0],B,v1^28v2^1[8-0],70,37,39,8,v1^28v2^1[9-0],,,,,,
v1^31[8-0],T,v1^30[9-0],70,38,39,8,v1^31[9-0],,v1^31v2^1[9-0],,,,
[10-8],B,[10-8],70,10,40,10,[11-5]+v1^30[11-0],,v2^1[11-5]+v1^30v2^1[11-0],,,,
v2^4[10-1],B,v2^4[10-1],70,14,40,10,,v2^4[11-1]+v1^28v2^1[11-0],,,,,
v1^27v2^1[10-0],T,v1^26v2^1[11-0],70,37,40,10,v1^27v2^1[11-0]+v1^30[11-0],,v1^30v2^1[11-0],,,,
v1^30[10-0],B,v1^30[10-0],70,40,40,10,v1^30[11-0],,v1^30v2^1[11-0],,,,
v1^26v2^1[12-0],B,v1^26v2^1[12-0],70,39,41,12,v1^26v2^1[13-0],,,,,,
v1^29[12-0],T,v1^28[13-0],70,40,41,12,v1^29[13-0],,v1^29v2^1[13-0],,,,
v1^1[14-2],T,[15-1],70,14,42,14,v1^25v2^1[15-0],,,v1^1v2^1[15-1],,,
v1^25v2^1[14-0],T,v1^24v2^1[15-0],70,39,42,14,v1^25v2^1[15-0]+v1^28[15-0],,v1^28v2^1[15-0],,,,
v1^28[14-0],B,v1^28[14-0],70,42,42,14,v1^28[15-0],,v1^28v2^1[15-0],,,,
v1^24v2^1[16-0],B,v1^24v2^1[16-0],70,41,43,16,v1^24v2^1[17-0],,,,,,
v1^27[16-0],T,v1^26[17-0],70,42,43,16,v1^27[17-0],,v1^27v2^1[17-0],,,,
v1^23v2^1[18-0],T,v1^22v2^1[19-0],70,41,44,18,v1^23v2^1[19-0]+v1^26[19-0],,v1^26v2^1[19-0],,,,
v1^26[18-0],B,v1^26[18-0],70,44,44,18,v1^26[19-0],,v1^26v2^1[19-0],,,,
v1^22v2^1[20-0],B,v1^22v2^1[20-0],70,43,45,20,v1^22v2^1[21-0],,,,,,
v1^25[20-0],T,v1^24[21-0],70,44,45,20,v1^25[21-0],,v1^25v2^1[21-0],,,,
v1^21v2^1[22-0],T,v1^20v2^1[23-0],70,43,46,22,v1^21v2^1[23-0]+v1^24[23-0],,v1^24v2^1[23-0],,,,
v1^24[22-0],B,v1^24[22-0],70,46,46,22,v1^24[23-0],,v1^24v2^1[23-0],,,,
v1^20v2^1[24-0],B,v1^20v2^1[24-0],70,45,47,24,v1^20v2^1[25-0],,,,,,
v1^23[24-0],T,v1^22[25-0],70,46,47,24,v1^23[25-0],,v1^23v2^1[25-0],,,,
v1^19v2^1[26-0],T,v1^18v2^1[27-0],70,45,48,26,v1^19v2^1[27-0]+v1^22[27-0],,v1^22v2^1[27-0],,,,
v1^22[26-0],B,v1^22[26-0],70,48,48,26,v1^22[27-0],,v1^22v2^1[27-0],,,,
v1^18v2^1[28-0],B,v1^18v2^1[28-0],70,47,49,28,v1^18v2^1[29-0],,,,,,
v1^21[28-0],T,v1^20[29-0],70,48,49,28,v1^21[29-0],,v1^21v2^1[29-0],,,,
v1^17v2^1[30-0],T,v1^16v2^1[31-0],70,47,50,30,v1^17v2^1[31-0]+v1^20[31-0],,v1^20v2^1[31-0],,,,
v1^20[30-0],B,v1^20[30-0],70,50,50,30,v1^20[31-0],,v1^20v2^1[31-0],,,,
v1^16v2^1[32-0],B,v1^16v2^1[32-0],70,49,51,32,v1^16v2^1[33-0],,,,,,
v1^19[32-0],T,v1^18[33-0],70,50,51,32,v1^19[33-0],,v1^19v2^1[33-0],,,,
v1^15v2^1[34-0],T,v1^14v2^1[35-0],70,49,52,34,v1^15v2^1[35-0]+v1^18[35-0],,v1^18v2^1[35-0],,,,
v1^18[34-0],B,v1^18[34-0],70,52,52,34,v1^18[35-0],,v1^18v2^1[35-0],,,,
v1^14v2^1[36-0],B,v1^14v2^1[36-0],70,51,53,36,v1^14v2^1[37-0],,,,,,
v1^17[36-0],T,v1^16[37-0],70,52,53,36,v1^17[37-0],,v1^17v2^1[37-0],,,,
v1^13v2^1[38-0],B,v1^13v2^1[38-0],70,52,54,38,,,,,,,
v1^16[38-0],B,v1^16[38-0],70,54,54,38,,,,,,,
v1^32v2^1[1-0],B,v1^32v2^1[1-0],71,34,36,1,v1^32v2^1[2-0],,,,,,
v1^35[1-0],T,v1^34[2-0],71,35,36,1,v1^35[2-0],,v1^35v2^1[2-0]+v1^38[2-0],,,,
[3-15],B,[3-15],71,3,37,3,[4-15],,,v2^2[4-12],,v2^6[4-12]+v1^46v2^1[4-0],
v2^1[3-13],B,v2^1[3-13],71,4,37,3,v2^1[4-12]+v1^34[4-0],,,v2^2[4-12],v2^1[4-17]+v1^10[4-12],v2^6[4-12]+v1^46v2^1[4-0],
v1^1v2^1[3-11],T,v2^1[4-11],71,4,37,3,v1^1v2^1[4-11]+v1^34[4-0],,,,,,
v1^3[3-13],T,v1^2[4-12],71,5,37,3,v1^3[4-12],,v1^3v2^1[4-12],,v1^3[4-17]+v1^41[4-0]+v1^10[4-12],,
v1^1v3^2[3-9],B,v1^1v3^2[3-9],71,6,37,3,v1^2v3^2[4-6]+v1^5v2^5[4-3]+v1^34[4-0],,v1^2v2^4v3^2[4-2]+v1^34v2^1[4-0],,v1^2v2^7[4-6]+v1^10[4-12],,
v1^1v2^3v3^1[3-7],T,v1^1v2^3[4-10],71,7,37,3,v1^2v2^3[4-10]+v1^31v2^1[4-0]+v1^34[4-0],,,,,,
v1^1v2^4v3^3[3-0],T,v2^5[4-6],71,8,37,3,v1^2v2^3[4-10]+v1^7v2^3[4-6]+v1^31v2^1[4-0]+v1^1v2^5[4-6]+v1^5v2^5[4-3],,v1^34v2^1[4-0],v1^1v2^6[4-6],,,
v1^7v2^2v3^3[3-0],T,v1^6v2^3[4-6],71,12,37,3,v1^7v2^3[4-6]+v1^31v2^1[4-0]+v1^34[4-0],,,,,,
v1^4v2^5v3^1[3-3],B,v1^4v2^5v3^1[3-3],71,13,37,3,v1^5v2^5[4-3]+v1^34[4-0],,v1^34v2^1[4-0],,,,
v1^31v2^1[3-0],T,v1^30v2^1[4-0],71,34,37,3,v1^31v2^1[4-0]+v1^34[4-0],,,,,,
v1^34[3-0],B,v1^34[3-0],71,37,37,3,v1^34[4-0],,v1^34v2^1[4-0],,,,
v2^1[5-12],B,v2^1[5-12],71,6,38,5,v1^1[6-12],,,,,,
v1^2[5-13],T,v1^2[6-10],71,7,38,5,v1^3[6-10]+v1^33[6-0],,v1^3v2^1[6-10]+v1^33v2^1[6-0],,v1^3[6-15]+v1^9[6-11]+v1^37v2^1[6-0]+v1^40[6-0],,
v1^2[5-14],B,v1^2[5-14],71,7,38,5,v1^2[6-11],,v1^2v2^1[6-11]+v1^36[6-0],,,,
v1^2v2^1v3^1[5-9],B,v1^2v2^1v3^1[5-9],71,9,38,5,v1^30v2^1[6-0],,,,,,
v2^8[5-1],B,v2^8[5-1],71,13,38,5,v1^30v2^1[6-0],v2^8[6-1]+v1^34[6-0],,v1^1v2^8[6-2]+v1^33v2^1[6-0],,,
v1^5v2^1v3^1[5-7],T,v1^5v2^1v3^2[6-1],71,13,38,5,v1^30v2^1[6-0],,,,,,
v1^30v2^1[5-0],B,v1^30v2^1[5-0],71,36,38,5,v1^30v2^1[6-0],,,,,,
v1^33[5-0],T,v1^32[6-0],71,37,38,5,v1^33[6-0],,v1^33v2^1[6-0]+v1^36[6-0],,,,
[7-10],B,[7-10],71,7,39,7,[8-12]+v1^32[8-0],v1^2[8-10]+v1^30v2^1[8-0],[8-14]+v1^2v2^1[8-9]+v1^32v2^1[8-0],[8-14]+v1^32v2^1[8-0],v1^1[8-17]+v1^2v2^2v3^2[8-2]+v1^8[8-11]+v1^36v2^1[8-0],v1^2v3^2[8-10]+v1^44v2^1[8-0],
v2^1[7-7],T,[8-10],71,7,39,7,v1^1[8-10]+v1^29v2^1[8-0]+v1^32[8-0],v1^1[8-12]+v1^1v2^3[8-4]+v1^33[8-0]+v1^2[8-10]+v1^30v2^1[8-0],v1^1[8-13]+v1^1v2^4[8-3]+v1^35[8-0]+v1^2v2^1[8-9]+v1^32v2^1[8-0],v1^1[8-13]+v1^1v2^4[8-3]+v1^35[8-0]+v1^32v2^1[8-0],v1^2v2^2v3^2[8-2]+v1^8[8-11]+v1^36v2^1[8-0],,
v1^1[7-9],T,[8-11],71,7,39,7,v1^1[8-11],,v1^1v2^1[8-11],,,,
v4^1[7-4],B,v4^1[7-4],71,8,39,7,,v1^2[8-10]+v1^30v2^1[8-0],,,,,
v1^2[7-8],B,v1^2[7-8],71,9,39,7,v1^2[8-9],,v1^2v2^1[8-9],,v1^2v2^2v3^2[8-2]+v1^8[8-11]+v1^36v2^1[8-0],,
v1^29v2^1[7-0],T,v1^28v2^1[8-0],71,36,39,7,v1^29v2^1[8-0]+v1^32[8-0],,,,,,
v1^32[7-0],B,v1^32[7-0],71,39,39,7,v1^32[8-0],,v1^32v2^1[8-0],,,,
[9-11],B,[9-11],71,9,40,9,[10-9]+v1^28v2^1[10-0],,[10-11]+v1^2v3^2[10-1],[10-11]+v1^2v3^2[10-1],,,
[9-12],B,[9-12],71,9,40,9,[10-10],,v2^1[10-10]+v1^34[10-0],,,,
v1^1[9-10],T,[10-8],71,9,40,9,v1^1[10-8]+v1^31[10-0],,v1^1v2^1[10-8]+v1^31v2^1[10-0]+v1^34[10-0],,,,
v2^3[9-3],B,v2^3[9-3],71,12,40,9,,,,,,,
v2^4[9-2],T,v2^4[10-1],71,13,40,9,v2^4[10-2],v1^1v2^4[10-2]+v1^29v2^1[10-0],v1^2v3^2[10-1]+v1^34[10-0],v2^5[10-2]+v1^2v3^2[10-1]+v1^34[10-0],,,
v1^28v2^1[9-0],B,v1^28v2^1[9-0],71,38,40,9,v1^28v2^1[10-0],,,,,,
v1^31[9-0],T,v1^30[10-0],71,39,40,9,v1^31[10-0],,v1^31v2^1[10-0]+v1^34[10-0],,,,
[11-5],B,[11-5],71,11,41,11,,,,,,,
v2^2[11-3],B,v2^2[11-3],71,13,41,11,,v2^2[12-2],,,,,
v1^27v2^1[11-0],T,v1^26v2^1[12-0],71,38,41,11,v1^27v2^1[12-0]+v1^30[12-0],,,,,,
v1^30[11-0],B,v1^30[11-0],71,41,41,11,v1^30[12-0],,v1^30v2^1[12-0],,,,
v1^26v2^1[13-0],B,v1^26v2^1[13-0],71,40,42,13,v1^26v2^1[14-0],,,,,,
v1^29[13-0],T,v1^28[14-0],71,41,42,13,v1^29[14-0],,v1^29v2^1[14-0]+v1^32[14-0],,,,
v1^25v2^1[15-0],T,v1^24v2^1[16-0],71,40,43,15,v1^25v2^1[16-0]+v1^28[16-0],,,,,,
v1^28[15-0],B,v1^28[15-0],71,43,43,15,v1^28[16-0],,v1^28v2^1[16-0],,,,
v1^24v2^1[17-0],B,v1^24v2^1[17-0],71,42,44,17,v1^24v2^1[18-0],,,,,,
v1^27[17-0],T,v1^26[18-0],71,43,44,17,v1^27[18-0],,v1^27v2^1[18-0]+v1^30[18-0],,,,
v1^23v2^1[19-0],T,v1^22v2^1[20-0],71,42,45,19,v1^23v2^1[20-0]+v1^26[20-0],,,,,,
v1^26[19-0],B,v1^26[19-0],71,45,45,19,v1^26[20-0],,v1^26v2^1[20-0],,,,
v1^22v2^1[21-0],B,v1^22v2^1[21-0],71,44,46,21,v1^22v2^1[22-0],,,,,,
v1^25[21-0],T,v1^24[22-0],71,45,46,21,v1^25[22-0],,v1^25v2^1[22-0]+v1^28[22-0],,,,
v1^21v2^1[23-0],T,v1^20v2^1[24-0],71,44,47,23,v1^21v2^1[24-0]+v1^24[24-0],,,,,,
