name,cell,image,stem,Adams filtration,weight,Adams-Novikov filtration,h1target,h2target,h3target,theta2,theta3,theta4,theta5
v1^22[2-0],B,v1^22[2-0],46,24,24,2,v1^22[3-0],,v1^22v2^1[3-0],,,,
v1^1[4-8],T,[5-8],46,4,25,4,v1^1[5-8]+v1^3v2^1[5-5]+v1^21[5-0]+v1^18v2^1[5-0],,v1^1[5-10],v1^1[5-10],,,v1^1[5-29]+v1^1v2^5v3^3[5-4]+v1^49v2^1[5-0]
v2^1[4-6],B,v2^1[4-6],46,5,25,4,v2^2[5-4]+v2^4[5-1],,,v2^3[5-4]+v1^24[5-0],,v1^1v2^2v3^2[5-4]+v1^5[5-13]+v1^36[5-0],v2^1[5-28]
v2^2[4-4],B,v2^2[4-4],46,6,25,4,,,,,,,
v1^3v2^1[4-4],T,v1^2v2^1[5-5],46,7,25,4,v1^3v2^1[5-5]+v1^21[5-0],,,,,,
v1^6[4-4],B,v1^6[4-4],46,10,25,4,,,,,,,
v1^18v2^1[4-0],B,v1^18v2^1[4-0],46,23,25,4,v1^18v2^1[5-0],,,,,,
v1^21[4-0],T,v1^20[5-0],46,24,25,4,v1^21[5-0],,v1^21v2^1[5-0],,,,
[6-7],B,[6-7],46,6,26,6,v1^20[7-0],,v1^20v2^1[7-0],,,,[7-24]+v1^4v2^8[7-5]
v1^2v2^1[6-4],B,v1^2v2^1[6-4],46,9,26,6,v1^20[7-0],,v1^20v2^1[7-0],,,,
v1^17v2^1[6-0],T,v1^16v2^1[7-0],46,23,26,6,v1^17v2^1[7-0]+v1^20[7-0],,v1^20v2^1[7-0],,,,
v1^20[6-0],B,v1^20[6-0],46,26,26,6,v1^20[7-0],,v1^20v2^1[7-0],,,,
v1^1v2^1[8-1],T,v1^1[9-1],46,9,27,8,v1^16v2^1[9-0],,,,,,
v1^16v2^1[8-0],B,v1^16v2^1[8-0],46,25,27,8,v1^16v2^1[9-0],,,,,,
v1^19[8-0],T,v1^18[9-0],46,26,27,8,v1^19[9-0],,v1^19v2^1[9-0],,,,
[10-1],B,[10-1],46,10,28,10,,[11-1]+v1^16v2^1[11-0],,,[11-4]+v1^2[11-2]+v1^22v2^1[11-0],,v2^10[11-1]+v1^6v2^2v3^2[11-2]
v1^15v2^1[10-0],T,v1^14v2^1[11-0],46,25,28,10,v1^15v2^1[11-0]+v1^18[11-0],,v1^18v2^1[11-0],,,,
v1^18[10-0],B,v1^18[10-0],46,28,28,10,v1^18[11-0],,v1^18v2^1[11-0],,,,
v1^14v2^1[12-0],B,v1^14v2^1[12-0],46,27,29,12,v1^14v2^1[13-0],,,,,,
v1^17[12-0],T,v1^16[13-0],46,28,29,12,v1^17[13-0],,v1^17v2^1[13-0],,,,
v1^13v2^1[14-0],T,v1^12v2^1[15-0],46,27,30,14,v1^13v2^1[15-0]+v1^16[15-0],,v1^16v2^1[15-0],,,,
v1^16[14-0],B,v1^16[14-0],46,30,30,14,v1^16[15-0],,v1^16v2^1[15-0],,,,
v1^12v2^1[16-0],B,v1^12v2^1[16-0],46,29,31,16,v1^12v2^1[17-0],,,,,,
v1^15[16-0],T,v1^14[17-0],46,30,31,16,v1^15[17-0],,v1^15v2^1[17-0],,,,
v1^11v2^1[18-0],T,v1^10v2^1[19-0],46,29,32,18,v1^11v2^1[19-0]+v1^14[19-0],,v1^14v2^1[19-0],,,,
v1^14[18-0],B,v1^14[18-0],46,32,32,18,v1^14[19-0],,v1^14v2^1[19-0],,,,
v1^10v2^1[20-0],B,v1^10v2^1[20-0],46,31,33,20,v1^10v2^1[21-0],,,,,,
v1^13[20-0],T,v1^12[21-0],46,32,33,20,v1^13[21-0],,v1^13v2^1[21-0],,,,
