name,stem,Adams-Novikov filtration,order,h1info,h1target,h2target,drinfo,drtarget
P^13 h1^2,106,2,1,,P^13 h1^3,,,
P^12 h1^2 c0,106,4,1,,P^12 h1^3 c0,,,
_P^12 h1^2 c0,107,1,3,,_P^12 h1^3 c0,,3,P^12 h1^2 c0
P^13 h1^3,107,3,1,,P^13 h1^4,,,
P^12 h1^3 c0,107,5,1,loc,,,,
_P^12 h1^3 c0,108,2,1,loc,,,3,P^12 h1^3 c0
P^13 h1^4,108,4,1,,P^13 h1^5,,,
_P^13 h1^4,109,1,1,,_P^13 h1^5,,3,P^13 h1^4
P^13 h1^5,109,5,1,loc,,,,
_P^13 h1^5,110,2,1,loc,,,3,P^13 h1^5
