ANSS-cofiber-2-machine,algNovikov-machine
"v1^2v2^1[3-0]	","	v1^2v2^1[3-0]"
"v1^2v2^1[3-11]	","	v1^2v2^1[3-11]"
"v1^2v2^1[3-13]	","	v1^2v2^1[3-13]"
"v1^2v2^1[3-17]	","	v1^2v2^1[3-17]+v0^2v1^1v2^4v3^1v4^1[3-3]"
"v1^2v2^1[3-6]	","	v1^2v2^1[3-6]"
"v1^2v2^1[30-0]	","	v1^2v2^1[30-0]"
"v1^2v2^1[31-0]	","	v1^2v2^1[31-0]"
"v1^2v2^1[32-0]	","	v1^2v2^1[32-0]"
"v1^2v2^1[33-0]	","	v1^2v2^1[33-0]"
"v1^2v2^1[34-0]	","	v1^2v2^1[34-0]"
"v1^2v2^1[4-0]	","	v1^2v2^1[4-0]"
"v1^2v2^1[4-11]	","	v1^2v2^1[4-11]"
"v1^2v2^1[4-12]	","	v1^2v2^1[4-12]+v0^2v2^1v4^1[4-6]"
"v1^2v2^1[4-4]	","	v1^2v2^1[4-4]+v0^1v1^5[4-4]+v1^20[4-0]"
"v1^2v2^1[5-0]	","	v1^2v2^1[5-0]"
"v1^2v2^1[5-14]	","	v1^2v2^1[5-14]"
"v1^2v2^1[5-5]	","	v1^2v2^1[5-5]"
"v1^2v2^1[6-0]	","	v1^2v2^1[6-0]"
"v1^2v2^1[6-10]	","	v1^2v3^1[6-9]"
"v1^2v2^1[6-11]	","	v1^2v2^1[6-11]"
"v1^2v2^1[6-15]	","	v2^4[6-10]+v3^6[6-0]"
"v1^2v2^1[6-4]	","	v1^2v2^1[6-4]+v1^20[6-0]"
"v1^2v2^1[7-0]	","	v1^2v2^1[7-0]"
"v1^2v2^1[7-14]	","	v1^1v2^3[7-10]"
"v1^2v2^1[7-6]	","	v0^1v4^1[7-3]+v1^28v2^1[7-0]"
"v1^2v2^1[7-8]	","	v2^1v3^3[7-1]+v1^2v2^5v3^1[7-1]"
"v1^2v2^1[7-9]	","	v1^2v2^1[7-9]"
"v1^2v2^1[8-0]	","	v1^2v2^1[8-0]"
"v1^2v2^1[8-11]	","	v1^2v2^1[8-11]"
"v1^2v2^1[8-4]	","	v1^2v2^1[8-4]+v1^5[8-4]+v0^1v1^5[8-4]"
"v1^2v2^1[8-9]	","	v1^1v2^1v3^2[8-2]"
"v1^2v2^1[9-0]	","	v1^2v2^1[9-0]"
"v1^2v2^1[9-10]	","	v1^2v3^2[9-2]"
"v1^2v2^1[9-12]	","	v1^2v2^1[9-12]"
"v1^2v2^1[9-5]	","	v1^2v2^1[9-5]+v1^28[9-0]"
"v1^2v2^11v4^1[3-1]	","	v1^2v2^9v3^3[3-1]+v1^26v2^9[3-0]"
"v1^2v2^12[4-3]	","	v1^2v2^12[4-3]"
"v1^2v2^12v3^2[2-1]	","	v0^6v1^2v2^7[2-11]"
"v1^2v2^13v3^1[3-3]	","	v1^4v2^9v3^1v4^1[3-1]"
"v1^2v2^1v3^1[10-6]	","	v1^2v2^1v3^1[10-6]"
"v1^2v2^1v3^1[13-7]	","	v1^2v2^1v3^1[13-7]"
"v1^2v2^1v3^1[14-6]	","	v1^2v2^1v3^1[14-6]"
"v1^2v2^1v3^1[5-7]	","	v1^2v2^1v3^1[5-7]+v1^30[5-0]"
"v1^2v2^1v3^1[5-9]	","	v1^4v2^1v4^1[5-2]+v0^1v2^8[5-1]+v0^2v2^8[5-1]"
"v1^2v2^1v3^1[6-6]	","	v1^2v2^1v3^1[6-6]+v1^26v2^1[6-0]"
"v1^2v2^1v3^1[9-9]	","	v2^2v3^5[9-0]+v0^1v2^8[9-1]"
"v1^2v2^2v3^1[7-8]	","	v1^1v2^5[7-7]+v1^26v2^4v3^1[7-0]+v1^28v2^1v3^2[7-0]"
"v1^2v2^2v3^2[11-2]	","	v1^2v2^3v4^1[11-1]"
"v1^2v2^2v3^2[4-2]	","	v1^2v2^4[4-5]+v1^5v2^3[4-5]+v1^28v2^1[4-0]"
"v1^2v2^2v3^2[8-2]	","	v1^2v2^4[8-5]"
"v1^2v2^2v3^3[3-0]	","	v1^2v2^1v3^3[3-1]"
"v1^2v2^2v4^1[10-7]	","	v1^2v2^1v3^3[10-6]"
"v1^2v2^2v4^1[11-3]	","	v1^1v2^4v4^1[11-1]+v1^4v2^3v4^1[11-1]"
"v1^2v2^2v4^1[3-3]	","	v0^2v1^1v3^1v4^1[3-3]+v0^1v1^6v3^1v4^1[3-1]"
"v1^2v2^2v4^1[6-7]	","	v1^2v2^1v3^3[6-6]"
"v1^2v2^2v4^1[6-8]	","	v1^2v2^1v3^3[6-7]"
"v1^2v2^2v4^1[7-3]	","	v1^1v2^5[7-5]"
"v1^2v2^2v4^2[6-2]	","	v2^6v4^1[6-5]+v1^2v2^5v3^3[6-2]"
"v1^2v2^3[12-6]	","	v1^3v2^3[12-5]"
"v1^2v2^3[4-6]	","	v1^3v2^3[4-5]+v1^26v2^1[4-0]"
"v1^2v2^3v3^2[4-8]	","	v1^2v2^2v3^4[4-2]"
"v1^2v2^3v3^3[3-0]	","	v1^4v2^1v3^1v4^1[3-1]+v1^32[3-0]"
"v1^2v2^4[12-3]	","	v1^2v2^4[12-3]"
"v1^2v2^4[4-3]	","	v1^2v2^4[4-3]+v1^28[4-0]"
"v1^2v2^4[8-3]	","	v1^2v2^4[8-3]"
"v1^2v2^4v3^1[9-7]	","	v1^3v2^2v3^3[9-1]+v1^24v2^3v3^2[9-0]"
"v1^2v2^4v3^2[10-1]	","	v1^2v2^4v3^2[10-1]"
"v1^2v2^4v3^2[2-1]	","	v1^2v2^4v3^2[2-1]"
"v1^2v2^4v3^2[4-2]	","	v1^3v3^2[4-8]"
"v1^2v2^4v3^2[6-1]	","	v1^2v2^4v3^2[6-1]"
"v1^2v2^4v3^3[3-0]	","	v0^1v2^2v4^1[3-5]+v1^32v2^1[3-0]"
"v1^2v2^4v3^3[5-4]	","	v1^4v2^5[5-14]+v2^12[5-3]"
"v1^2v2^4v4^1[7-1]	","	v2^8[7-3]"
"v1^2v2^5v3^1[11-3]	","	v1^4v2^1v3^1v4^1[11-1]"
"v1^2v2^5v3^1[3-3]	","	v1^4v2^1v3^1v4^1[3-1]+v2^8[3-3]+v1^32[3-0]"
"v1^2v2^5v3^1[9-7]	","	v1^4v2^3v3^2[9-5]"
"v1^2v2^5v3^1v4^1[4-2]	","	v2^8v4^1[4-2]"
"v1^2v2^7[4-6]	","	v1^2v2^2[4-14]"
"v1^2v2^8[4-3]	","	v1^2v2^8[4-3]"
"v1^2v2^8[7-5]	","	v1^2v2^8[7-5]+v1^26v2^3v3^2[7-0]"
"v1^2v2^8[8-3]	","	v1^2v2^8[8-3]"
"v1^2v2^8v3^1[5-7]	","	v1^3v2^6v3^3[5-1]"
"v1^2v2^8v3^2[2-1]	","	v0^4v1^2v2^3[2-11]+v0^6v1^2v2^3[2-11]+v0^1v1^2v2^8v3^2[2-1]"
"v1^2v2^8v3^2[6-1]	","	v1^2v2^8v3^2[6-1]+v1^12v3^1[6-11]"
"v1^2v2^9v3^1[5-7]	","	v1^4v2^8v4^1[5-2]"
"v1^2v2^9v3^1[7-3]	","	v1^4v2^5v3^1v4^1[7-1]"
"v1^2v3^1[5-15]	","	v3^4[5-3]+v2^4v4^1[5-4]"
"v1^2v3^2[10-1]	","	v1^2v3^2[10-1]"
"v1^2v3^2[12-5]	","	v1^2v3^2[12-5]+v1^8v2^1v3^1[12-4]"
"v1^2v3^2[14-1]	","	v1^2v3^2[14-1]+v1^4v3^1[14-4]"
"v1^2v3^2[2-1]	","	v0^2[2-9]+v0^3[2-9]+v0^1v1^2v3^2[2-1]"
"v1^2v3^2[4-6]	","	v1^2v3^2[4-6]+v1^7v2^1v4^1[4-2]"
"v1^2v3^2[6-1]	","	v1^2v3^2[6-1]+v1^4v3^1[6-4]"
"v1^2v3^2[8-10]	","	v1^2v3^2[8-10]"
"v1^2v3^2[8-5]	","	v1^2v3^2[8-5]+v2^9v3^2[8-0]"
"v1^2v3^2[8-7]	","	v2^4v4^1[8-2]+v1^1v2^4[8-10]"
"v1^2v3^2v4^1[6-3]	","	v2^5v3^1[6-8]"
"v1^2v3^3[5-4]	","	v1^2v2^1v4^1[5-7]"
"v1^2v3^3[9-4]	","	v1^2v2^2v3^1[9-12]+v2^8[9-3]"
"v1^2v3^4[2-3]	","	v0^1v1^2v2^1[2-11]+v0^2v1^2v2^1[2-11]+v1^8v2^1v3^1v4^1[2-2]+v1^36[2-0]"
"v1^2v4^1[13-4]	","	v1^1v2^2v3^1[13-7]"
"v1^2v4^1[15-1]	","	v1^2v4^1[15-1]"
"v1^2v4^1[5-4]	","	v1^1v2^2v3^1[5-7]+v1^6v4^1[5-2]+v1^32[5-0]"
"v1^2v4^1[7-1]	","	v1^2v4^1[7-1]"
"v1^2v4^1[9-4]	","	v1^1v2^2v3^1[9-7]"
"v1^2v4^2[3-4]	","	v0^3[3-19]+v1^2v2^5v3^3[3-1]+v0^1v1^2v2^5v3^3[3-1]"
"v1^2v4^2[6-5]	","	v0^2v2^1v3^1v4^1[6-8]+v1^4v2^2v3^1[6-11]+v0^1v2^5v3^1v4^1[6-2]+v1^28v2^2v3^2[6-0]"
"v1^3[3-19]	","	v2^12[3-3]"
"v1^3[5-13]	","	v1^2v3^2[5-7]"
"v1^30[1-0]	","	v1^30[1-0]"
"v1^30[2-0]	","	v1^30[2-0]"
"v1^30[3-0]	","	v1^30[3-0]"
"v1^30[4-0]	","	v1^30[4-0]"
"v1^30[5-0]	","	v1^30[5-0]"
"v1^30[6-0]	","	v1^30[6-0]"
"v1^30[7-0]	","	v1^30[7-0]"
"v1^30v2^1[1-0]	","	v1^30v2^1[1-0]"
"v1^30v2^1[2-0]	","	v1^30v2^1[2-0]"
"v1^30v2^1[3-0]	","	v1^30v2^1[3-0]"
"v1^30v2^1[4-0]	","	v1^30v2^1[4-0]"
"v1^30v2^1[5-0]	","	v1^30v2^1[5-0]"
"v1^30v2^1[6-0]	","	v1^30v2^1[6-0]"
"v1^32[1-0]	","	v1^32[1-0]"
"v1^32[2-0]	","	v1^32[2-0]"
"v1^32[3-0]	","	v1^32[3-0]"
"v1^32[4-0]	","	v1^32[4-0]"
"v1^32[5-0]	","	v1^32[5-0]"
"v1^32v2^1[1-0]	","	v0^3v1^26v2^3[1-0]+v0^5v1^26v2^3[1-0]+v0^6v1^26v2^3[1-0]"
"v1^32v2^1[2-0]	","	v1^32v2^1[2-0]"
"v1^32v2^1[3-0]	","	v1^32v2^1[3-0]"
"v1^32v2^1[4-0]	","	v1^32v2^1[4-0]"
"v1^34[1-0]	","	v1^34[1-0]"
"v1^34[2-0]	","	v1^34[2-0]"
"v1^34[3-0]	","	v1^34[3-0]"
"v1^34v2^1[1-0]	","	v1^34v2^1[1-0]"
"v1^34v2^1[2-0]	","	v1^34v2^1[2-0]"
"v1^36[1-0]	","	v1^36[1-0]"
"v1^3v2^10v3^1[6-2]	","	v1^4v2^5v3^3[6-2]"
"v1^3v2^11[4-5]	","	v1^3v2^11[4-5]"
"v1^3v2^13[4-3]	","	v1^5v2^9v4^1[4-2]"
"v1^3v2^14v3^1[2-2]	","	v1^4v2^9v3^3[2-2]"
"v1^3v2^1v3^2[14-1]	","	v1^4v4^1[14-2]"
"v1^3v2^1v3^2[6-1]	","	v1^4v4^1[6-2]"
"v1^3v2^2v3^3[5-4]	","	v2^8v3^3[5-0]+v0^1v2^12[5-1]"
"v1^3v2^3[4-13]	","	v1^1v2^3v3^2[4-8]+v2^8[4-8]+v0^1v1^13[4-12]"
"v1^3v2^4v3^1[5-4]	","	v1^4v4^1[5-7]"
"v1^3v2^5[12-3]	","	v1^5v2^1v4^1[12-2]+v0^1v1^6v2^3[12-5]"
"v1^3v2^5[4-3]	","	v1^5v2^1v4^1[4-2]+v0^4v2^4[4-8]+v0^5v2^4[4-8]"
"v1^3v2^5v3^2[10-1]	","	v1^6v2^1v3^1v4^1[10-2]"
"v1^3v2^6v3^1[10-2]	","	v1^4v2^1v3^3[10-2]"
"v1^3v2^6v3^1[2-2]	","	v1^4v2^1v3^3[2-2]"
"v1^3v2^7[8-5]	","	v1^3v2^7[8-5]"
"v1^3v2^9[8-3]	","	v1^5v2^5v4^1[8-2]"
"v1^3v2^9v3^2[6-1]	","	v1^6v2^5v3^1v4^1[6-2]"
"v1^3v3^1[14-6]	","	v1^3v3^1[14-6]"
"v1^3v3^1[6-6]	","	v1^3v3^1[6-6]"
"v1^3v3^2[3-9]	","	v1^2v2^3v3^1[3-8]"
"v1^3v3^2v4^1[7-1]	","	v0^1v2^4v4^1[7-3]"
"v1^4[1-0]	","	v1^4[1-0]"
"v1^4[10-0]	","	v1^4[10-0]"
"v1^4[10-10]	","	v1^4[10-10]"
"v1^4[11-0]	","	v1^4[11-0]"
"v1^4[11-6]	","	v1^4[11-6]"
"v1^4[12-0]	","	v1^4[12-0]"
"v1^4[12-4]	","	v1^4[12-4]"
"v1^4[13-0]	","	v1^4[13-0]"
"v1^4[14-0]	","	v1^4[14-0]"
"v1^4[15-0]	","	v1^4[15-0]"
"v1^4[15-5]	","	v1^4[15-5]+v1^5v3^1[15-2]"
"v1^4[16-0]	","	v1^4[16-0]"
"v1^4[16-4]	","	v1^4[16-4]"
"v1^4[17-0]	","	v1^4[17-0]"
"v1^4[18-0]	","	v1^4[18-0]"
"v1^4[19-0]	","	v1^4[19-0]"
"v1^4[2-0]	","	v1^4[2-0]"
"v1^4[2-11]	","	v1^4[2-11]+v1^32v2^1[2-0]"
"v1^4[2-7]	","	v1^4[2-7]"
"v1^4[20-0]	","	v1^4[20-0]"
"v1^4[21-0]	","	v1^4[21-0]"
"v1^4[22-0]	","	v1^4[22-0]"
"v1^4[23-0]	","	v1^4[23-0]"
"v1^4[24-0]	","	v1^4[24-0]"
"v1^4[25-0]	","	v1^4[25-0]"
"v1^4[26-0]	","	v1^4[26-0]"
"v1^4[27-0]	","	v1^4[27-0]"
"v1^4[28-0]	","	v1^4[28-0]"
"v1^4[29-0]	","	v1^4[29-0]"
"v1^4[3-0]	","	v1^4[3-0]"
"v1^4[3-13]	","	v1^4[3-13]"
"v1^4[3-6]	","	v1^4[3-6]"
"v1^4[30-0]	","	v1^4[30-0]"
"v1^4[31-0]	","	v1^4[31-0]"
"v1^4[32-0]	","	v1^4[32-0]"
"v1^4[33-0]	","	v1^4[33-0]"
"v1^4[4-0]	","	v1^4[4-0]"
"v1^4[4-12]	","	v1^4[4-12]+v1^32v2^1[4-0]"
"v1^4[4-4]	","	v1^4[4-4]+v1^16v2^1[4-0]"
"v1^4[5-0]	","	v1^4[5-0]"
"v1^4[5-14]	","	v1^4[5-14]+v1^32v2^1[5-0]"
"v1^4[5-17]	","	v1^1v2^6v3^1[5-4]"
"v1^4[6-0]	","	v1^4[6-0]"
"v1^4[6-10]	","	v1^4[6-10]"
"v1^4[6-11]	","	v1^4[6-11]"
"v1^4[6-15]	","	v1^2v2^5v3^1[6-6]"
"v1^4[7-0]	","	v1^4[7-0]"
"v1^4[7-5]	","	v1^4[7-5]+v1^24v2^1[7-0]"
"v1^4[7-8]	","	v2^6[7-3]"
"v1^4[7-9]	","	v1^4[7-9]"
"v1^4[8-0]	","	v1^4[8-0]"
"v1^4[8-11]	","	v1^4[8-11]"
"v1^4[8-4]	","	v1^4[8-4]"
"v1^4[9-0]	","	v1^4[9-0]"
"v1^4[9-12]	","	v1^4[9-12]"
"v1^4v2^1[1-0]	","	v0^3[1-3]+v0^6[1-3]"
"v1^4v2^1[10-0]	","	v1^4v2^1[10-0]"
"v1^4v2^1[10-10]	","	v1^4v2^1[10-10]"
"v1^4v2^1[11-0]	","	v1^4v2^1[11-0]"
"v1^4v2^1[11-6]	","	v1^4v2^1[11-6]"
"v1^4v2^1[12-0]	","	v1^4v2^1[12-0]"
"v1^4v2^1[12-4]	","	v1^4v2^1[12-4]+v1^22v2^3v3^1[12-0]"
"v1^4v2^1[13-0]	","	v1^4v2^1[13-0]"
"v1^4v2^1[14-0]	","	v1^4v2^1[14-0]"
"v1^4v2^1[15-0]	","	v1^4v2^1[15-0]"
"v1^4v2^1[16-0]	","	v1^4v2^1[16-0]"
"v1^4v2^1[17-0]	","	v1^4v2^1[17-0]"
"v1^4v2^1[18-0]	","	v1^4v2^1[18-0]"
"v1^4v2^1[19-0]	","	v1^4v2^1[19-0]"
"v1^4v2^1[2-0]	","	v1^4v2^1[2-0]"
"v1^4v2^1[20-0]	","	v1^4v2^1[20-0]"
"v1^4v2^1[21-0]	","	v1^4v2^1[21-0]"
"v1^4v2^1[22-0]	","	v1^4v2^1[22-0]"
"v1^4v2^1[23-0]	","	v1^4v2^1[23-0]"
"v1^4v2^1[24-0]	","	v1^4v2^1[24-0]"
"v1^4v2^1[25-0]	","	v1^4v2^1[25-0]"
"v1^4v2^1[26-0]	","	v1^4v2^1[26-0]"
"v1^4v2^1[27-0]	","	v1^4v2^1[27-0]"
"v1^4v2^1[28-0]	","	v1^4v2^1[28-0]"
"v1^4v2^1[29-0]	","	v1^4v2^1[29-0]"
"v1^4v2^1[3-0]	","	v1^4v2^1[3-0]"
"v1^4v2^1[3-13]	","	v1^4v2^1[3-13]"
"v1^4v2^1[3-6]	","	v1^4v2^1[3-6]+v1^22[3-0]"
"v1^4v2^1[30-0]	","	v1^4v2^1[30-0]"
"v1^4v2^1[31-0]	","	v1^4v2^1[31-0]"
"v1^4v2^1[32-0]	","	v1^4v2^1[32-0]"
"v1^4v2^1[4-0]	","	v1^4v2^1[4-0]"
"v1^4v2^1[4-12]	","	v1^4v2^1[4-12]"
"v1^4v2^1[4-4]	","	v1^4v2^1[4-4]+v1^22[4-0]"
"v1^4v2^1[5-0]	","	v1^4v2^1[5-0]"
"v1^4v2^1[5-14]	","	v1^4v2^1[5-14]"
"v1^4v2^1[6-0]	","	v1^4v2^1[6-0]"
"v1^4v2^1[6-10]	","	v1^1v2^4v3^1[6-6]"
"v1^4v2^1[6-11]	","	v1^4v2^1[6-11]"
"v1^4v2^1[7-0]	","	v1^4v2^1[7-0]"
"v1^4v2^1[7-8]	","	v1^2v2^1v3^3[7-1]"
"v1^4v2^1[7-9]	","	v1^4v2^1[7-9]"
"v1^4v2^1[8-0]	","	v1^4v2^1[8-0]"
"v1^4v2^1[8-11]	","	v1^4v2^1[8-11]+v1^28v2^1v3^1[8-0]"
"v1^4v2^1[8-4]	","	v1^4v2^1[8-4]+v1^30[8-0]"
"v1^4v2^1[9-0]	","	v1^4v2^1[9-0]"
"v1^4v2^1[9-12]	","	v1^4v2^1[9-12]"
"v1^4v2^11v3^1[5-1]	","	v1^5v2^6v3^3[5-1]"
"v1^4v2^11v4^1[3-1]	","	v1^4v2^11v4^1[3-1]+v0^1v1^12v2^4[3-13]+v0^2v1^22v2^11[3-0]"
"v1^4v2^13v3^1[3-3]	","	v1^6v2^9v3^1v4^1[3-1]"
"v1^4v2^1v3^1[13-4]	","	v1^4v2^1v3^1[13-4]"
"v1^4v2^1v3^1[13-7]	","	v1^6v4^1[13-2]"
"v1^4v2^1v3^1[5-4]	","	v1^4v2^1v3^1[5-4]"
"v1^4v2^1v3^1[5-7]	","	v1^6v4^1[5-2]"
"v1^4v2^1v3^2v4^1[3-1]	","	v2^5v3^3[3-1]+v0^1v2^5v3^3[3-1]"
"v1^4v2^2v3^2[11-2]	","	v1^4v2^3v4^1[11-1]+v1^9v3^1[11-6]"
"v1^4v2^2v3^3[3-0]	","	v1^4v2^3v4^1[3-1]+v0^1v1^6v3^1v4^1[3-1]+v1^28v2^1[3-0]"
"v1^4v2^3[12-6]	","	v1^5v2^3[12-5]"
"v1^4v2^3[4-6]	","	v1^5v2^3[4-5]+v1^28v2^1[4-0]"
"v1^4v2^4v3^2[4-2]	","	v1^1v2^5v3^2[4-2]"
"v1^4v2^5v3^1[11-3]	","	v1^6v2^1v3^1v4^1[11-1]"
"v1^4v2^5v3^1[3-3]	","	v1^6v2^1v3^1v4^1[3-1]+v1^34[3-0]"
"v1^4v2^5v3^1[9-7]	","	v1^6v2^3v3^2[9-5]"
"v1^4v2^7[4-6]	","	v1^2v2^8[4-5]"
"v1^4v2^7v3^1[9-1]	","	v1^5v2^2v3^3[9-1]"
"v1^4v2^8[7-5]	","	v1^4v2^8[7-5]"
"v1^4v2^9v3^1[5-7]	","	v1^6v2^8v4^1[5-2]"
"v1^4v2^9v3^1[7-3]	","	v1^6v2^5v3^1v4^1[7-1]"
"v1^4v3^1[5-15]	","	v1^1v2^6v3^1[5-7]"
"v1^4v3^2[4-6]	","	v1^4v3^2[4-6]"
"v1^4v3^4[2-3]	","	v0^6[2-14]"
"v1^4v4^1[15-1]	","	v1^4v2^1[15-5]"
"v1^4v4^1[7-1]	","	v1^4v2^1[7-5]"
"v1^4v4^2[3-4]	","	v0^2v1^1v2^4v3^1v4^1[3-3]+v0^1v2^12v3^1[3-0]"
"v1^5[12-4]	","	v1^5[12-4]+v0^1v1^5[12-4]"
"v1^5[16-4]	","	v1^5[16-4]+v0^1v1^5[16-4]"
"v1^5[4-4]	","	v1^5[4-4]+v1^20[4-0]"
"v1^5[5-13]	","	v1^4v3^2[5-7]"
"v1^5[8-4]	","	v1^5[8-4]+v1^28[8-0]"
"v1^5v2^10v3^1[6-2]	","	v1^6v2^5v3^3[6-2]"
"v1^5v2^11[4-5]	","	v1^5v2^11[4-5]"
"v1^5v2^14v3^1[2-2]	","	v1^6v2^9v3^3[2-2]"
"v1^5v2^1v3^2[6-1]	","	v1^6v4^1[6-2]+v1^32[6-0]"
"v1^5v2^3[12-6]	","	v1^6v2^3[12-5]"
"v1^5v2^3[4-6]	","	v0^4v2^4[4-8]+v1^32[4-0]"
"v1^5v2^4v3^1[5-4]	","	v1^2v2^5v3^1[5-4]+v1^32v3^1[5-0]"
"v1^5v2^5[4-3]	","	v1^7v2^1v4^1[4-2]"
"v1^5v2^5v3^2[2-1]	","	v1^8v2^1v3^1v4^1[2-2]+v1^36[2-0]"
"v1^5v2^6v3^1[10-2]	","	v1^6v2^1v3^3[10-2]"
"v1^5v2^6v3^1[2-2]	","	v1^6v2^1v3^3[2-2]"
"v1^5v2^7[8-5]	","	v1^5v2^7[8-5]"
"v1^5v3^1[14-6]	","	v1^5v3^1[14-6]"
"v1^5v3^1[6-6]	","	v1^5v3^1[6-6]"
"v1^5v3^2[3-9]	","	v2^10[3-3]"
"v1^6[1-0]	","	v1^6[1-0]"
"v1^6[10-0]	","	v1^6[10-0]"
"v1^6[10-10]	","	v1^6[10-10]"
"v1^6[11-0]	","	v1^6[11-0]"
"v1^6[11-6]	","	v1^6[11-6]"
"v1^6[12-0]	","	v1^6[12-0]"
"v1^6[12-4]	","	v2^3v3^4[12-0]"
"v1^6[13-0]	","	v1^6[13-0]"
"v1^6[14-0]	","	v1^6[14-0]"
"v1^6[15-0]	","	v1^6[15-0]"
"v1^6[15-5]	","	v1^6[15-5]+v1^14v2^8v3^1[15-0]+v1^18v2^4v4^1[15-0]"
"v1^6[16-0]	","	v1^6[16-0]"
"v1^6[16-4]	","	v1^6[16-4]"
"v1^6[17-0]	","	v1^6[17-0]"
"v1^6[18-0]	","	v1^6[18-0]"
"v1^6[19-0]	","	v1^6[19-0]"
"v1^6[2-0]	","	v1^6[2-0]"
"v1^6[2-11]	","	v1^6[2-11]"
"v1^6[2-7]	","	v1^6[2-7]"
"v1^6[20-0]	","	v1^6[20-0]"
"v1^6[21-0]	","	v1^6[21-0]"
"v1^6[22-0]	","	v1^6[22-0]"
"v1^6[23-0]	","	v1^6[23-0]"
"v1^6[24-0]	","	v1^6[24-0]"
"v1^6[25-0]	","	v1^6[25-0]"
"v1^6[26-0]	","	v1^6[26-0]"
"v1^6[27-0]	","	v1^6[27-0]"
"v1^6[28-0]	","	v1^6[28-0]"
"v1^6[29-0]	","	v1^6[29-0]"
"v1^6[3-0]	","	v1^6[3-0]"
"v1^6[3-13]	","	v1^6[3-13]"
"v1^6[3-6]	","	v1^6[3-6]"
"v1^6[30-0]	","	v1^6[30-0]"
"v1^6[31-0]	","	v1^6[31-0]"
"v1^6[4-0]	","	v1^6[4-0]"
"v1^6[4-12]	","	v1^6[4-12]"
"v1^6[4-4]	","	v2^7[4-0]+v1^18v2^1[4-0]"
"v1^6[5-0]	","	v1^6[5-0]"
"v1^6[5-14]	","	v1^6[5-14]"
"v1^6[6-0]	","	v1^6[6-0]"
"v1^6[6-11]	","	v1^6[6-11]"
"v1^6[7-0]	","	v1^6[7-0]"
"v1^6[7-5]	","	v1^6[7-5]+v1^26v2^1[7-0]"
"v1^6[7-9]	","	v1^6[7-9]"
"v1^6[8-0]	","	v1^6[8-0]"
"v1^6[8-11]	","	v1^6[8-11]"
"v1^6[8-4]	","	v1^6[8-4]+v1^26v2^1[8-0]"
"v1^6[9-0]	","	v1^6[9-0]"
"v1^6[9-12]	","	v1^6[9-12]"
"v1^6v2^1[1-0]	","	v1^6v2^1[1-0]"
"v1^6v2^1[10-0]	","	v1^6v2^1[10-0]"
"v1^6v2^1[10-10]	","	v1^6v2^1[10-10]"
"v1^6v2^1[11-0]	","	v1^6v2^1[11-0]"
"v1^6v2^1[12-0]	","	v1^6v2^1[12-0]"
"v1^6v2^1[13-0]	","	v1^6v2^1[13-0]"
"v1^6v2^1[14-0]	","	v1^6v2^1[14-0]"
"v1^6v2^1[15-0]	","	v1^6v2^1[15-0]"
"v1^6v2^1[16-0]	","	v1^6v2^1[16-0]"
"v1^6v2^1[17-0]	","	v1^6v2^1[17-0]"
"v1^6v2^1[18-0]	","	v1^6v2^1[18-0]"
"v1^6v2^1[19-0]	","	v1^6v2^1[19-0]"
"v1^6v2^1[2-0]	","	v1^6v2^1[2-0]"
"v1^6v2^1[2-7]	","	v1^6v2^1[2-7]"
"v1^6v2^1[20-0]	","	v1^6v2^1[20-0]"
"v1^6v2^1[21-0]	","	v1^6v2^1[21-0]"
"v1^6v2^1[22-0]	","	v1^6v2^1[22-0]"
"v1^6v2^1[23-0]	","	v1^6v2^1[23-0]"
"v1^6v2^1[24-0]	","	v1^6v2^1[24-0]"
"v1^6v2^1[25-0]	","	v1^6v2^1[25-0]"
"v1^6v2^1[26-0]	","	v1^6v2^1[26-0]"
"v1^6v2^1[27-0]	","	v1^6v2^1[27-0]"
"v1^6v2^1[28-0]	","	v1^6v2^1[28-0]"
"v1^6v2^1[29-0]	","	v1^6v2^1[29-0]"
"v1^6v2^1[3-0]	","	v1^6v2^1[3-0]"
"v1^6v2^1[3-13]	","	v1^6v2^1[3-13]"
"v1^6v2^1[30-0]	","	v1^6v2^1[30-0]"
"v1^6v2^1[4-0]	","	v1^6v2^1[4-0]"
"v1^6v2^1[4-12]	","	v1^6v2^1[4-12]"
"v1^6v2^1[5-0]	","	v1^6v2^1[5-0]"
"v1^6v2^1[5-14]	","	v1^6v2^1[5-14]"
"v1^6v2^1[6-0]	","	v1^6v2^1[6-0]"
"v1^6v2^1[6-11]	","	v1^6v2^1[6-11]+v1^30v2^1v3^1[6-0]"
"v1^6v2^1[7-0]	","	v1^6v2^1[7-0]"
"v1^6v2^1[7-9]	","	v1^6v2^1[7-9]"
"v1^6v2^1[8-0]	","	v1^6v2^1[8-0]"
"v1^6v2^1[8-11]	","	v1^6v2^1[8-11]"
"v1^6v2^1[9-0]	","	v1^6v2^1[9-0]"
"v1^6v2^1[9-12]	","	v1^6v2^1[9-12]"
"v1^6v2^11[4-5]	","	v0^4v2^12[4-8]"
"v1^6v2^11v4^1[3-1]	","	v1^6v2^11v4^1[3-1]"
"v1^6v2^1v3^2v4^1[3-1]	","	v1^2v2^5v3^3[3-1]+v0^1v1^2v2^5v3^3[3-1]+v1^32v2^3[3-0]"
"v1^6v2^2v3^2[11-2]	","	v1^6v2^3v4^1[11-1]"
