ANSS-cofiber-2-machine,algNovikov-machine
"[6-8]	","	[6-8]+v1^2v2^1v3^1[6-2]+v1^20v2^1[6-0]"
"[6-9]	","	[6-9]"
"[7-0]	","	[7-0]"
"[7-1]	","	[7-1]"
"[7-10]	","	[7-10]"
"[7-11]	","	[7-11]"
"[7-12]	","	[7-12]"
"[7-13]	","	[7-13]+v1^30v3^1[7-0]"
"[7-14]	","	[7-14]"
"[7-15]	","	[7-15]+v1^1v3^3[7-3]+v2^8v3^2[7-0]"
"[7-16]	","	[7-16]+v1^1v2^5[7-5]+v1^8[7-9]"
"[7-17]	","	[7-17]+v0^1v2^2v3^5[7-0]"
"[7-18]	","	[7-18]"
"[7-19]	","	[7-19]+v0^2v4^3[7-0]+v1^26v2^4v3^1[7-0]+v1^28v2^1v3^2[7-0]"
"[7-2]	","	[7-2]"
"[7-20]	","	[7-20]"
"[7-21]	","	[7-21]"
"[7-22]	","	[7-22]+v1^4v2^2v3^1[7-9]"
"[7-23]	","	[7-23]"
"[7-24]	","	[7-24]+v1^13v3^1[7-9]"
"[7-25]	","	[7-25]+v1^1v2^3v3^2[7-7]+v1^4v2^1v3^5[7-1]"
"[7-3]	","	[7-3]"
"[7-4]	","	[7-4]"
"[7-5]	","	[7-5]+v1^2v2^1v3^1[7-1]+v1^20v2^1[7-0]"
"[7-6]	","	[7-6]"
"[7-7]	","	[7-7]"
"[7-8]	","	[7-8]+v1^30[7-0]"
"[7-9]	","	[7-9]+v1^28v2^1[7-0]"
"[8-0]	","	[8-0]"
"[8-1]	","	[8-1]"
"[8-10]	","	[8-10]+v1^28v2^1[8-0]"
"[8-11]	","	[8-11]+v1^28v2^1[8-0]"
"[8-12]	","	[8-12]"
"[8-13]	","	[8-13]"
"[8-14]	","	[8-14]"
"[8-15]	","	[8-15]"
"[8-16]	","	[8-16]"
"[8-17]	","	[8-17]+v1^28v2^1v3^1[8-0]"
"[8-18]	","	[8-18]+v0^1v1^9[8-11]"
"[8-19]	","	[8-19]+v0^1v2^6v3^1[8-2]"
"[8-2]	","	[8-2]"
"[8-21]	","	[8-21]"
"[8-22]	","	[8-22]+v1^2v3^2[8-10]"
"[8-23]	","	[8-23]+v1^2v2^8[8-3]"
"[8-24]	","	[8-24]"
"[8-3]	","	[8-3]+v1^22[8-0]"
"[8-4]	","	[8-4]+v1^20v2^1[8-0]"
"[8-6]	","	[8-6]"
"[8-7]	","	[8-7]+v1^5[8-4]"
"[8-8]	","	[8-8]"
"[8-9]	","	[8-9]"
"[9-0]	","	[9-0]"
"[9-1]	","	[9-1]"
"[9-10]	","	[9-10]"
"[9-11]	","	[9-11]"
"[9-12]	","	[9-12]+v1^28v2^1[9-0]"
"[9-13]	","	[9-13]"
"[9-14]	","	[9-14]"
"[9-15]	","	[9-15]+v1^28v3^1[9-0]"
"[9-16]	","	[9-16]"
"[9-17]	","	[9-17]"
"[9-18]	","	[9-18]+v1^2v4^1[9-3]"
"[9-19]	","	[9-19]"
"[9-20]	","	[9-20]+v2^5v3^1[9-5]"
"[9-21]	","	[9-21]"
"[9-22]	","	[9-22]+v2^1v4^3[9-0]"
"[9-3]	","	[9-3]+v1^22[9-0]"
"[9-4]	","	[9-4]"
"[9-5]	","	[9-5]+v1^20v2^1[9-0]"
"[9-6]	","	[9-6]+v1^22v2^1[9-0]"
"[9-7]	","	[9-7]"
"[9-8]	","	[9-8]+v1^2v2^1[9-5]+v1^28[9-0]"
"[9-9]	","	[9-9]+v0^2v2^4[9-1]+v1^26v2^1[9-0]"
"v1^1[12-1]	","	v1^1[12-1]"
"v1^1[12-13]	","	v1^1[12-13]+v1^2v3^2[12-3]+v1^18v2^7v3^1[12-0]+v1^22v2^3v4^1[12-0]"
"v1^1[13-1]	","	v1^1[13-1]"
"v1^1[16-1]	","	v1^1[16-1]"
"v1^1[17-1]	","	v1^1[17-1]"
"v1^1[20-1]	","	v1^1[20-1]"
"v1^1[3-5]	","	v1^1[3-5]"
"v1^1[3-9]	","	v2^4[3-3]+v1^20[3-0]"
"v1^1[4-1]	","	v1^1[4-1]"
"v1^1[4-23]	","	v1^1[4-23]+v0^1v2^10v3^1[4-2]+v1^12v2^1[4-12]+v1^30v2^3v3^1[4-0]"
"v1^1[4-25]	","	v2^4[4-18]"
"v1^1[5-1]	","	v1^1[5-1]"
"v1^1[5-12]	","	v1^1[5-12]"
"v1^1[5-13]	","	v3^2[5-7]"
"v1^1[5-18]	","	v1^1[5-18]+v2^2[5-15]+v1^32v3^1[5-0]"
"v1^1[6-12]	","	v1^1[6-12]"
"v1^1[6-14]	","	v3^2[6-8]+v1^1v2^4v3^1[6-6]"
"v1^1[6-18]	","	v1^1[6-18]"
"v1^1[8-1]	","	v1^1[8-1]"
"v1^1[8-15]	","	v1^1[8-15]+v1^2v3^2[8-3]"
"v1^1[9-1]	","	v1^1[9-1]"
"v1^1[9-18]	","	v3^2[9-7]"
"v1^10[1-0]	","	v1^10[1-0]"
"v1^10[10-0]	","	v1^10[10-0]"
"v1^10[11-0]	","	v1^10[11-0]"
"v1^10[12-0]	","	v1^10[12-0]"
"v1^10[13-0]	","	v1^10[13-0]"
"v1^10[14-0]	","	v1^10[14-0]"
"v1^10[15-0]	","	v1^10[15-0]"
"v1^10[16-0]	","	v1^10[16-0]"
"v1^10[17-0]	","	v1^10[17-0]"
"v1^10[18-0]	","	v1^10[18-0]"
"v1^10[19-0]	","	v1^10[19-0]"
"v1^10[2-0]	","	v1^10[2-0]"
"v1^10[2-11]	","	v1^10[2-11]"
"v1^10[20-0]	","	v1^10[20-0]"
"v1^10[21-0]	","	v1^10[21-0]"
"v1^10[22-0]	","	v1^10[22-0]"
"v1^10[23-0]	","	v1^10[23-0]"
