name,stem,Adams filtration,weight,h0target,h1target,h2target,h3target,drinfo,drvalue
v0^11[1-4],31,12,16,v0^12[1-4],,,,,
v0^12[1-4],31,13,16,v0^13[1-4],,,,,
v0^13[1-4],31,14,16,v0^14[1-4],,,,,
v0^14[1-4],31,15,16,v0^15[1-4],,,,,
v0^15[1-4],31,16,16,,,,,,
[2-7],32,2,17,,[3-6]+v1^1[3-5],,[3-8]+v2^1[3-6],,
[4-3],32,4,18,,[5-3]+v1^14[5-0],[5-4],[5-6]+v1^2[5-5],,
v1^2v2^1v3^1[2-2],32,6,17,,v1^2v2^1v3^1[3-1]+v1^12v2^1[3-0],,,,
v1^2v2^1[4-2],32,7,18,,,,,2,v0^1v2^2v3^1[5-0]
v0^1v1^2v2^1[4-2],32,8,18,,,,,2,v0^2v2^2v3^1[5-0]
v1^6v2^3[2-0],32,11,17,,loc,,,2,v1^8v2^2[3-0]
v1^12v2^1[2-0],32,15,17,,loc,,,,
[3-6],33,3,18,,[4-4]+v1^12v2^1[4-0],,[4-7]+v2^1[4-4],,
v1^1[3-5],33,4,18,,,,,,
[5-3],33,5,19,,[6-3]+v3^2[6-0]+v1^14[6-0],,[6-6]+v1^2[6-4],,
v1^2v2^1v3^1[3-1],33,7,18,,,,,,
v1^4v2^1v3^1[5-0],33,11,19,,loc,,,2,v1^4v2^3[6-0]
v1^8v3^1[3-0],33,12,18,,loc,,,2,v1^8v2^2[4-0]
v0^1v1^8v3^1[3-0],33,13,18,,,,,,
v0^2v1^8v3^1[3-0],33,14,18,,,,,,
v1^16[1-0],33,17,17,,loc,,v1^16v2^1[2-0],,
[2-8],34,2,18,v0^1[2-8],v1^1v3^1[3-3]+v1^16[3-0],[3-7]+v3^2[3-1]+v1^2[3-6],v0^1[3-9]+v1^4[3-6]+v0^1v2^4v3^1[3-0]+v1^16v2^1[3-0],,
v0^1[2-8],34,3,18,,,,,,
[4-4],34,4,19,,[5-5]+v1^12v2^1[5-0],,v2^1[5-5]+v1^18[5-0],,
v2^2[4-2],34,6,19,,,,,,
[6-3],34,6,20,,v3^2[7-0],v0^1v4^1[7-0],[7-4]+v1^2[7-2]+v1^14v2^1[7-0],,
v3^2[6-0],34,8,20,,loc,v0^1v4^1[7-0],,,
v2^5[4-0],34,9,19,,loc,,,2,v1^2v2^4[5-0]
v0^1v3^2[6-0],34,9,20,,,,,,
v1^4v2^4[2-0],34,10,18,,loc,,,2,v1^6v2^3[3-0]
v0^2v3^2[6-0],34,10,20,,,,,,
v0^1v1^4v2^4[2-0],34,11,18,,,,,2,v0^1v1^8v3^1[3-0]
v0^2v1^4v2^4[2-0],34,12,18,,,,,2,v0^2v1^8v3^1[3-0]
v1^1v3^1[3-3],35,5,19,,v1^2[4-3]+v1^16[4-0],,v1^2[4-5]+v1^4[4-4],,
[5-4],35,5,20,,,[6-5],,,
[5-5],35,5,20,,[6-4],,v2^1[6-4],,
v2^2[5-1],35,7,20,,,,,2,v0^1v3^2[6-0]
v0^1v2^2[5-1],35,8,20,,,,,2,v0^2v3^2[6-0]
v1^10v2^2[3-0],35,15,19,,loc,,,,
v1^14v2^1[1-0],35,16,18,v0^1v1^14v2^1[1-0],loc,,,,
v0^1v1^14v2^1[1-0],35,17,18,v0^2v1^14v2^1[1-0],,,,,
v0^2v1^14v2^1[1-0],35,18,18,,,,,,
v1^2[2-7],36,4,19,,v1^2[3-6]+v1^14v2^1[3-0],,v1^2v2^1[3-6],,
v1^2[4-3],36,6,20,,v1^16[5-0],,v1^16v2^1[5-0],,
[6-4],36,6,21,,[7-2],,v2^1[7-2],,
v1^2v2^2v3^1[6-0],36,11,21,,loc,,,2,v1^2v2^4[7-0]
v1^6v2^1v3^1[4-0],36,12,20,,loc,,,2,v1^6v2^3[5-0]
v1^8v2^3[2-0],36,13,19,,loc,,,2,v1^10v2^2[3-0]
v0^1v1^6v2^1v3^1[4-0],36,13,20,,,,,,
v0^2v1^6v2^1v3^1[4-0],36,14,20,,,,,,
[3-7],37,3,20,,v1^2[4-4]+v1^14v2^1[4-0],[4-7]+v1^18[4-0],v0^2[4-8]+v1^2v2^1[4-4],,
v1^2[3-6],37,5,20,,v1^2[4-4]+v1^14v2^1[4-0],,v1^2v2^1[4-4],,
v3^2[3-1],37,5,20,,,,v0^2[4-8],,
v0^1v3^2[3-1],37,6,20,,,,,,
v0^2v3^2[3-1],37,7,20,,,,,,
v1^2[5-3],37,7,21,,,,,,
[7-2],37,7,22,,[8-1],,v2^1[8-1],,
v0^3v3^2[3-1],37,8,20,,,,,,
v4^1[7-0],37,8,22,,loc,,,2,v3^2[8-0]
v2^3v3^1[5-0],37,9,21,,loc,,,2,v2^5[6-0]
v0^1v4^1[7-0],37,9,22,,,v0^1v1^1[8-1],,,
v1^2v2^5[3-0],37,10,20,,loc,,,2,v1^4v2^4[4-0]
v0^2v4^1[7-0],37,10,22,,,,,,
v0^1v1^2v2^5[3-0],37,11,20,,,,,2,v0^1v1^6v2^1v3^1[4-0]
v0^2v1^2v2^5[3-0],37,12,20,,,,,2,v0^2v1^6v2^1v3^1[4-0]
v1^18[1-0],37,19,19,,loc,,v1^18v2^1[2-0],,
[2-9],38,2,20,,,,,4,v0^1v3^2[3-1]
v0^1[2-9],38,3,20,,,,,4,v0^2v3^2[3-1]
v0^2[2-9],38,4,20,v0^3[2-9]+v0^1v1^2v3^2[2-1],v1^18[3-0],,v0^1v2^2[3-6],,
[4-5],38,4,21,,,,,3,v1^2[5-3]
v0^3[2-9],38,5,20,,v2^6[3-0]+v1^18[3-0],v0^1v2^4v3^1[3-0]+v1^16v2^1[3-0],v0^2v2^2[3-6],,
v1^2v3^2[2-1],38,6,20,,,,,2,v0^3v3^2[3-1]
v1^2[4-4],38,6,21,,v1^2[5-5]+v1^14v2^1[5-0],,v1^2v2^1[5-5]+v1^20[5-0],,
[6-5],38,6,22,,,[7-4]+v1^2[7-2]+v1^14v2^1[7-0],,,
v0^1v1^2v3^2[2-1],38,7,20,,v2^6[3-0]+v1^18[3-0],v0^1v2^4v3^1[3-0]+v1^16v2^1[3-0],,,
v2^2[6-1],38,8,22,,,,,2,v0^2v4^1[7-0]
[8-1],38,8,23,,,,v1^1[9-1],,
v1^10v3^1[4-0],38,15,21,,loc,,,2,v1^10v2^2[5-0]
v1^12v2^2[2-0],38,16,20,,loc,,,,
v0^1v1^12v2^2[2-0],38,17,20,,,,,,
v0^2v1^12v2^2[2-0],38,18,20,,,,,,
[3-8],39,3,21,,[4-7]+v1^18[4-0],,,,
v2^1[3-6],39,4,21,,v2^1[4-4]+v1^18[4-0],,,,
[5-6],39,5,22,,[6-6]+v1^14v2^1[6-0],,[6-7],,
v1^2[5-5],39,7,22,,v1^2[6-4],,v1^2v2^1[6-4],,
[7-3],39,7,23,,,[8-2]+v1^14v2^1[8-0],,,
v2^6[3-0],39,9,21,,loc,,v1^18v2^1[4-0],,
v1^2v3^2[7-0],39,11,23,,loc,,,,
v1^4v2^2v3^1[5-0],39,12,22,,loc,,,2,v1^4v2^4[6-0]
v1^6v2^4[3-0],39,13,21,,loc,,,2,v1^8v2^3[4-0]
v0^1v1^4v2^2v3^1[5-0],39,13,22,,,,,,
v1^10v2^3[1-0],39,14,20,,loc,,,2,v1^12v2^2[2-0]
v0^2v1^4v2^2v3^1[5-0],39,14,22,,,,,,
v0^1v1^10v2^3[1-0],39,15,20,,,,,2,v0^1v1^12v2^2[2-0]
v0^2v1^10v2^3[1-0],39,16,20,,,,,2,v0^2v1^12v2^2[2-0]
v0^3v1^10v2^3[1-0],39,17,20,v0^4v1^10v2^3[1-0],v1^16v2^1[2-0],,,,
v0^4v1^10v2^3[1-0],39,18,20,v0^5v1^10v2^3[1-0],,,,,
v0^5v1^10v2^3[1-0],39,19,20,v0^6v1^10v2^3[1-0],,,,,
v0^6v1^10v2^3[1-0],39,20,20,,,,,,
[4-6],40,4,22,,[5-7]+v1^18[5-0],,[5-9]+v3^3[5-0]+v0^1v2^4[5-1]+v2^7[5-0]+v1^18v2^1[5-0],,
[4-7],40,4,22,,v1^18[5-0],,v1^18v2^1[5-0],,
v0^1[4-6],40,5,22,,,,,,
v2^1[4-4],40,5,22,,v2^1[5-5],,v1^18v2^1[5-0],,
v1^4[2-7],40,6,21,,v1^4[3-6],,v1^4v2^1[3-6]+v1^22[3-0],,
[6-6],40,6,23,,[7-4],,,,
v1^2[6-4],40,8,23,,v1^2[7-2],,,,
v2^1v3^2[6-0],40,9,23,,loc,,,2,v1^2v3^2[7-0]
v1^1[8-1],40,9,24,v0^1v1^1[8-1],v1^16[9-0],v0^1[9-1],v1^16v2^1[9-0],,
v1^2v2^3v3^1[4-0],40,10,22,,loc,,,2,v1^2v2^5[5-0]
v0^1v1^1[8-1],40,10,24,,,v2^1v3^2[9-0]+v1^14v2^1[9-0],,,
v0^1v1^2v2^3v3^1[4-0],40,11,22,,,,,2,v0^1v1^4v2^2v3^1[5-0]
v0^2v1^2v2^3v3^1[4-0],40,12,22,,,,,2,v0^2v1^4v2^2v3^1[5-0]
v1^16v2^1[2-0],40,19,21,,loc,,,,
[3-9],41,3,22,,,,,2,v0^1[4-6]
v0^1[3-9],41,4,22,,v1^2[4-5],v0^1v1^5[4-4],v0^1v3^1[4-4]+v0^1v2^2v3^1[4-2]+v1^4v2^1[4-4],,
[5-7],41,5,23,,,,,,
v2^1[5-5],41,6,23,,v2^1[6-4]+v1^18[6-0],,v1^18v2^1[6-0],,
v1^4[3-6],41,7,22,,v1^4[4-4]+v1^16v2^1[4-0],,v1^4v2^1[4-4],,
[7-4],41,7,24,,v2^1v3^2[8-0],,,,
v2^4v3^1[3-0],41,8,22,,loc,,,2,v2^6[4-0]
v0^1v2^4v3^1[3-0],41,9,22,,v1^16v2^1[4-0],v0^1v1^5[4-4],,,
v1^2[7-2],41,9,24,,v2^1v3^2[8-0]+v1^14v2^1[8-0],,,,
v0^2v2^4v3^1[3-0],41,10,22,,,,,,
v1^8v2^1v3^1[5-0],41,15,23,,loc,,,2,v1^8v2^3[6-0]
v1^12v3^1[3-0],41,16,22,,loc,,,2,v1^12v2^2[4-0]
v0^1v1^12v3^1[3-0],41,17,22,,,,,,
v0^2v1^12v3^1[3-0],41,18,22,,,,,,
v1^20[1-0],41,21,21,,loc,,v1^20v2^1[2-0],,
v1^2v2^1[2-7],42,5,22,v0^1v1^2v2^1[2-7],v1^2v2^1[3-6]+v1^20[3-0],v0^1v2^2[3-6]+v0^2v2^2[3-6]+v1^18v2^1[3-0],v1^20v2^1[3-0],,
v0^1v1^2v2^1[2-7],42,6,22,v0^2v1^2v2^1[2-7],,v0^2v2^2[3-6],,,
v1^2[4-5],42,6,23,,v1^16v2^1[5-0],,,,
v0^2v1^2v2^1[2-7],42,7,22,,,,,,
v2^1[6-4],42,7,24,,v2^1[7-2],,,,
v2^6[2-1],42,8,22,,,,,2,v0^2v2^4v3^1[3-0]
v1^4[4-4],42,8,23,,v1^16v2^1[5-0],,,,
[8-2],42,8,25,,v1^14v2^1[9-0],v1^1[9-1],,,
v1^2v4^1[8-0],42,11,25,,loc,,,2,v1^2v3^2[9-0]
v1^4v3^2[6-0],42,12,24,,loc,,,,
v1^4v2^5[4-0],42,13,23,,loc,,,2,v1^6v2^4[5-0]
v0^1v1^4v3^2[6-0],42,13,24,,,,,,
v1^8v2^4[2-0],42,14,22,,loc,,,2,v1^10v2^3[3-0]
v0^2v1^4v3^2[6-0],42,14,24,,,,,,
v0^1v1^8v2^4[2-0],42,15,22,,,,,2,v0^1v1^12v3^1[3-0]
v0^2v1^8v2^4[2-0],42,16,22,,,,,2,v0^2v1^12v3^1[3-0]
v1^2v2^1[3-6],43,6,23,,v1^2v2^1[4-4],,,,
v2^4[3-3],43,7,23,,v1^20[4-0],,v1^20v2^1[4-0],,
v2^1[7-2],43,8,25,,v2^1[8-1],,,,
[9-1],43,9,26,v0^1[9-1],,[10-1],,,
v1^2v2^1v3^2[5-0],43,10,24,,loc,,,2,v1^4v3^2[6-0]
v0^1[9-1],43,10,26,v2^1v3^2[9-0]+v1^14v2^1[9-0],,,,,
v1^2v2^6[3-0],43,11,23,,loc,,,,
v0^1v1^2v2^1v3^2[5-0],43,11,24,,,,,2,v0^1v1^4v3^2[6-0]
v0^2v1^2v2^1v3^2[5-0],43,12,24,,,,,2,v0^2v1^4v3^2[6-0]
v1^14v2^2[3-0],43,19,23,,loc,,,,
v1^18v2^1[1-0],43,20,22,v0^1v1^18v2^1[1-0],loc,,,,
v0^1v1^18v2^1[1-0],43,21,22,v0^2v1^18v2^1[1-0],,,,,
v0^2v1^18v2^1[1-0],43,22,22,,,,,,
[4-8],44,4,24,v0^1[4-8],[5-8],[5-9]+v1^18v2^1[5-0],[5-10]+v1^20v2^1[5-0],,
v0^1[4-8],44,5,24,v0^2[4-8],,,v0^1[5-10],,
v0^2[4-8],44,6,24,,,,,,
v1^2v2^1[4-4],44,7,24,,v1^2v2^1[5-5]+v1^20[5-0],,,,
v1^6[2-7],44,8,23,,v1^6[3-6],,,,
v2^7[2-0],44,9,23,,loc,,,2,v1^2v2^6[3-0]
v1^5[4-4],44,9,24,v0^1v1^5[4-4],,v0^1v2^4[5-1]+v1^18v2^1[5-0],,,
v2^1[8-1],44,9,26,,v1^1[9-1],,,,
v0^1v1^5[4-4],44,10,24,,,v2^7[5-0],,,
v1^6v2^2v3^1[6-0],44,15,25,,loc,,,2,v1^6v2^4[7-0]
v1^10v2^1v3^1[4-0],44,16,24,,loc,,,2,v1^10v2^3[5-0]
v1^12v2^3[2-0],44,17,23,,loc,,,2,v1^14v2^2[3-0]
v0^1v1^10v2^1v3^1[4-0],44,17,24,,,,,,
v0^2v1^10v2^1v3^1[4-0],44,18,24,,,,,,
[3-10],45,3,24,v0^1[3-10]+v1^18v2^1[3-0],v2^2[4-4]+v3^3[4-0],v0^1v3^1[4-4]+v2^2v3^1[4-2]+v0^1v2^2v3^1[4-2],,,
v0^1[3-10],45,4,24,v0^1v2^2[3-6]+v1^18v2^1[3-0],v1^18v2^1[4-0],v0^1v2^2v3^1[4-2]+v1^22[4-0],,,
v2^2[3-6],45,5,24,v0^1v2^2[3-6]+v1^18v2^1[3-0],v2^2[4-4]+v2^7[4-0],v0^1v3^1[4-4]+v0^1v2^2v3^1[4-2],,,
[5-8],45,5,25,,[6-7],,[6-8]+v1^2v2^1v3^1[6-2]+v1^20v2^1[6-0],,
v0^1v2^2[3-6],45,6,24,v0^2v2^2[3-6],v1^18v2^1[4-0],,,,
v0^2v2^2[3-6],45,7,24,,,,,,
v1^2v2^1[5-5],45,8,25,,v1^2v2^1[6-4]+v1^20[6-0],,v1^20v2^1[6-0],,
v1^6[3-6],45,9,24,,v2^7[4-0]+v1^18v2^1[4-0],,,,
v1^1[9-1],45,10,27,,,,,,
v2^1v4^1[9-0],45,11,27,,loc,,,2,v2^1v3^2[10-0]
v1^4v4^1[7-0],45,12,26,,loc,,,2,v1^4v3^2[8-0]
v1^4v2^3v3^1[5-0],45,13,25,,loc,,,2,v1^4v2^5[6-0]
v0^1v1^4v4^1[7-0],45,13,26,,,,,,
v1^6v2^5[3-0],45,14,24,,loc,,,2,v1^8v2^4[4-0]
v0^2v1^4v4^1[7-0],45,14,26,,,,,,
v0^1v1^6v2^5[3-0],45,15,24,,,,,2,v0^1v1^10v2^1v3^1[4-0]
v0^2v1^6v2^5[3-0],45,16,24,,,,,2,v0^2v1^10v2^1v3^1[4-0]
v1^22[1-0],45,23,23,,loc,,v1^22v2^1[2-0],,
v2^2[4-4],46,6,25,,v2^7[5-0]+v1^18v2^1[5-0],,,,
[6-7],46,6,26,,,,,,
v3^3[4-0],46,7,25,,loc,,,,
v2^4[4-2],46,8,25,,,,,,
v1^2v2^1[6-4],46,9,26,,,,,,
v2^2v3^2[6-0],46,10,26,,loc,,,2,v1^2v2^1v3^2[7-0]
[10-1],46,10,28,,,[11-1]+v1^16v2^1[11-0],,,
v1^2v2^4v3^1[4-0],46,11,25,,loc,,,2,v1^2v2^6[5-0]
v0^1v2^2v3^2[6-0],46,11,26,,,,,2,v0^1v1^4v4^1[7-0]
v0^1[10-1],46,11,28,,,,,,
v1^4v2^6[2-0],46,12,24,,loc,,,,
