name,stem,Adams filtration,weight,cell,shift,h0info,h0target,h1info,h1target,h2info,h2target,drinfo,drtarget
_P^8 h1^2 c0,75,36,38,1,0,h,P^9 h2,,loc,h,P^8 h0 d0,,
P^9 h2,75,37,38,0,0,,P^9 h0 h2,,,,P^8 h0^2 d0,,
P^9 h0 h2,75,38,38,0,0,,,,,,,,
h4 D3,76,5,40,0,0,,,,h1 h4 D3,,h0 x1,,
"x76,6",76,6,40,0,0,,"h0 x76,6",,"h1 x76,6",,"h2 x76,6",2,"h0 x75,7"
h3^2 H1,76,7,41,0,-2,,,,,,,2,"h1 x74,8"
"h0 x76,6",76,7,40,0,0,,"h0^2 x76,6",,,,"h0 h2 x76,6",,
_h1^4 h6 c0,76,7,40,1,2,,,,_h1^5 h6 c0,,,,
"h0^2 x76,6",76,8,40,0,-2,,,,,,,,
_P h1^4 h6,76,8,39,1,0,,,,_P h1^5 h6,,,,
d1 g2,76,8,42,0,2,,,,h1 d1 g2,,h1^2 m1,,
h1^5 h6 c0,76,9,42,0,-3,,,,h1^6 h6 c0,,,,
"_h1^4 x71,6",76,9,41,1,-1,,,,,,,,
M h1 h4^2,76,9,41,0,1,,,,,,,,
"x76,9",76,9,40,0,3,,,,,,"h1 x78,9",,
_t g B6,76,10,40,1,-2,,,h,t g Q2,,,,
P h1^5 h6,76,10,41,0,0,,,,P h1^6 h6,,,,
D h1 h3 g2,76,10,41,0,2,,,,,,,,
h1 g B6,76,12,43,0,-3,,,,h1^2 g B6,,,,
_h1^12 h6,76,12,43,1,-1,,,,_h1^13 h6,,,,
_D^2 h3 g,76,12,39,1,1,,,,_D^2 h1 h3 g,h,D^2 n,2,_D^2 h0 h2^2 g
_t h2 d1 g^2,76,12,42,1,3,,,h,D h1 d1 g,,_t h2^2 d1 g^2,,
D^2 h1 h3 g,76,14,41,0,-3,,,,D^2 h1^2 h3 g,,,,
h1^13 h6,76,14,45,0,-1,,,,h1^14 h6,,,,
g^2 T,76,14,44,0,1,,,,h1 g^2 T,,,,
M d0 e0,76,14,42,0,3,,M h0 d0 e0,,loc,,M h0 e0^2,,
M h0 d0 e0,76,15,42,0,-2,,M h0^2 d0 e0,,,,M h0^2 e0^2,,
_t h0 g^2 m,76,15,42,1,0,,_t^2 h1 e0^2 g^2,,,,_t^2 h1 e0 g^3,2,_t h0^2 e0^2 g^2
_M h1^2 d0^2,76,15,41,1,2,,,,loc,,,,
M h0^2 d0 e0,76,16,42,0,-3,,,,,,,,
_t^2 h1 e0^2 g^2,76,16,42,1,-1,,,,,,,2,d0 j m
_M P c0 d0,76,16,40,1,1,h,M P i,,loc,h,M P j,,
D^2 d0^2,76,16,40,0,3,,D^2 h0 d0^2,,loc,,D^2 h0 d0 e0,,
D h1 e0^3,76,17,43,0,-2,,,,loc,,,,
M P i,76,17,40,0,0,,M P h0 i,,,,M P h0 j,2,M P^2 h0 d0
D^2 h0 d0^2,76,17,40,0,2,,D^2 h0^2 d0^2,,,,D^2 h0^2 d0 e0,,
M P h0 i,76,18,40,0,-1,,,,,,,2,M P^2 h0^2 d0
D^2 h0^2 d0^2,76,18,40,0,1,,M P h0^2 i,,,,,,
M P h0^2 i,76,19,40,0,-1,,M P h0^3 i,,,,,,
c0 e0^4,76,19,45,0,1,,,,loc,,,,
d0^3 e0^2,76,20,44,0,-1,,h0 d0^3 e0^2,,loc,,h0 d0^2 e0^3,,
M P h0^3 i,76,20,40,0,1,,M P h0^4 i,,,,,,
h0 d0^3 e0^2,76,21,44,0,-2,,h0^2 d0^3 e0^2,,,,h0^2 d0^2 e0^3,,
M P h0^4 i,76,21,40,0,0,,M P h0^5 i,,,,,,
_h1^2 d0^4 e0,76,21,43,1,2,,,,loc,,,,
h0^2 d0^3 e0^2,76,22,44,0,-2,,,,,,,,
M P h0^5 i,76,22,40,0,0,,,,,,,,
_P c0 d0^3 e0,76,22,42,1,2,h,P^2 d0^2 l,,loc,h,P^2 d0^2 m,,
P^2 d0^2 l,76,23,42,0,-1,,P^2 h0 d0^2 l,,,,P^2 h0 d0^2 m,2,P^2 h0 d0^3 e0
