name,stem,Adams filtration,weight,cell,shift,h1info,h1target,drinfo,drtarget
M D c0 g,97,17,53,0,0,,M D h1 c0 g,,
D^2 M h1^4,97,18,52,0,0,,D^2 M h1^5,,
M h1 e0^3,97,19,55,0,0,,M h1^2 e0^3,,
M D h1^3 c0 e0,97,20,54,0,0,,M D h1^4 c0 e0,,
M h1^4 c0 g^2,97,21,57,0,-1,,M h1^5 c0 g^2,,
D^2 h1 d0 e0^2,97,21,53,0,1,,,,
M h1^7 c0 e0 g,97,24,58,0,0,,,,
P^12 h1,97,49,49,0,0,,loc,,
M D1 h1,98,11,53,0,0,,M D1 h1^2,,
M^2 c0,98,15,53,0,0,,M^2 h1 c0,,
_D^2 M h1^4,98,17,51,1,0,,_D^2 M h1^5,,
M D h1 c0 g,98,18,54,0,0,,M D h1^2 c0 g,,
D^2 M h1^5,98,19,53,0,0,,D^2 M h1^6,,
M h1^2 e0^3,98,20,56,0,0,,M h1^3 e0^3,,
M D h1^4 c0 e0,98,21,55,0,0,,M D h1^5 c0 e0,,
M h1^5 c0 g^2,98,22,58,0,0,,M h1^6 c0 g^2,,
M D1 h1^2,99,12,54,0,0,,M D1 h1^3,,
M^2 h1 c0,99,16,54,0,0,,,,
_D^2 M h1^5,99,18,52,1,-1,,_D^2 M h1^6,,
M e0^2 g,99,18,56,0,1,,M h1 e0^2 g,,
M D h1^2 c0 g,99,19,55,0,0,,M D h1^3 c0 g,,
D^2 M h1^6,99,20,54,0,0,,D^2 M h1^7,,
M h1^3 e0^3,99,21,57,0,0,,M h1^4 e0^3,,
M D h1^5 c0 e0,99,22,56,0,0,,M D h1^6 c0 e0,,
M h1^6 c0 g^2,99,23,59,0,0,,M h1^7 c0 g^2,,
_P^11 h1^2 c0,99,48,50,1,0,,loc,,
M D1 h1^3,100,13,55,0,0,,M D1 h1^4,,
_t M h0 e0^2 g,100,18,54,1,0,h,M D h1 d0 e0,,
_D^2 M h1^6,100,19,53,1,-1,,_D^2 M h1^7,,
M h1 e0^2 g,100,19,57,0,1,,,,
M D h1^3 c0 g,100,20,56,0,-1,,M D h1^4 c0 g,,
_t D^2 h0 e0^3,100,20,52,1,1,h,D^3 h1 d0^2,,
D^2 M h1^7,100,21,55,0,0,,,,
M h1^4 e0^3,100,22,58,0,0,,M h1^5 e0^3,,
M D h1^6 c0 e0,100,23,57,0,0,,M D h1^7 c0 e0,,
M h1^7 c0 g^2,100,24,60,0,0,,,,
M D1 h1^4,101,14,56,0,0,,M D1 h1^5,,
D^2 M c0,101,17,53,0,0,,D^2 M h1 c0,,
D^2 M P,101,18,52,0,0,,D^2 M P h1,,
M D h1 d0 e0,101,19,55,0,0,,M D h1^2 d0 e0,,
_D^2 M h1^7,101,20,54,1,0,,,,
M D h1^4 c0 g,101,21,57,0,-1,,M D h1^5 c0 g,,
D^3 h1 d0^2,101,21,53,0,1,,,,
M h1^5 e0^3,101,23,59,0,0,,M h1^6 e0^3,,
M D h1^7 c0 e0,101,24,58,0,0,,,,
_P^12 h1^4,101,51,51,1,0,,loc,,
_t^2 c1 H1 g,102,11,53,1,0,h,"x103,12",,
_M D1 h1^4,102,13,55,1,0,,_M D1 h1^5,,
M D1 h1^5,102,15,57,0,0,,M D1 h1^6,,
D^2 M h1 c0,102,18,54,0,0,,D^2 M h1^2 c0,,
D^2 M P h1,102,19,53,0,0,,D^2 M P h1^2,,
M D h1^2 d0 e0,102,20,56,0,0,,M D h1^3 d0 e0,,
M P D c0 e0,102,21,55,0,0,,M P D h1 c0 e0,,
M D h1^5 c0 g,102,22,58,0,0,,M D h1^6 c0 g,,
M h1^6 e0^3,102,24,60,0,0,,M h1^7 e0^3,,
"x103,12",103,12,54,0,0,,"h1 x103,12",,
_M D1 h1^5,103,14,56,1,0,,_M D1 h1^6,,
M D1 h1^6,103,16,58,0,0,,M D1 h1^7,,
_t M h0 e0 g^2,103,18,56,1,0,h,M D h1 e0^2,,
D^2 M h1^2 c0,103,19,55,0,0,,D^2 M h1^3 c0,,
D^2 M P h1^2,103,20,54,0,0,,D^2 M P h1^3,,
M D h1^3 d0 e0,103,21,57,0,0,,M D h1^4 d0 e0,,
M P D h1 c0 e0,103,22,56,0,0,,M P D h1^2 c0 e0,,
M D h1^6 c0 g,103,23,59,0,0,,M D h1^7 c0 g,,
M h1^7 e0^3,103,25,61,0,0,,,,
"h1 x103,12",104,13,55,0,0,,"h1^2 x103,12",,
_M D1 h1^6,104,15,57,1,0,,_M D1 h1^7,,
M^2 d0,104,16,56,0,0,,M^2 h1 d0,,
M D1 h1^7,104,17,59,0,0,,M D1 h1^8,,
_D^2 M h1^2 c0,104,18,54,1,0,,_D^2 M h1^3 c0,,
M D h1 e0^2,104,19,57,0,0,,,,
D^2 M h1^3 c0,104,20,56,0,0,,D^2 M h1^4 c0,,
D^2 M P h1^3,104,21,55,0,0,,,,
M D h1^4 d0 e0,104,22,58,0,0,,M D h1^5 d0 e0,,
M P D h1^2 c0 e0,104,23,57,0,0,,M P D h1^3 c0 e0,,
M D h1^7 c0 g,104,24,60,0,0,,,,
